Iteration,test_preds,estimated_params
1,"[np.float32(0.06438503), np.float32(-1.2936571), np.float32(0.112049386), np.float32(0.30957), np.float32(0.1335554), np.float32(-0.048581794), np.float32(0.3286584), np.float32(0.09927389), np.float32(-0.14688358), np.float32(-0.16159996), np.float32(0.11299886), np.float32(-0.32338515), np.float32(0.076082155), np.float32(-0.12194368), np.float32(-0.20115358), np.float32(0.00894963), np.float32(0.06566594), np.float32(0.013993658), np.float32(0.011087507), np.float32(0.02552454), np.float32(-0.045730606)]","[np.float32(1.7146003), np.float32(1.8124278), np.float32(1.3735622), np.float32(1.992065), np.float32(1.757547), np.float32(1.3458726), np.float32(1.7398106), np.float32(1.6590352), np.float32(1.6768732), np.float32(1.4919243)]"
2,"[np.float32(-0.124458544), np.float32(-0.12194434), np.float32(-0.0040927753), np.float32(-0.6273244), np.float32(-0.03893784), np.float32(0.039194632), np.float32(0.34703553), np.float32(-0.00603918), np.float32(-0.0696613), np.float32(-0.14453013), np.float32(0.06944917), np.float32(-0.22989357), np.float32(0.12256415), np.float32(-0.082748845), np.float32(-0.14099133), np.float32(-0.018645927), np.float32(0.053305477), np.float32(0.010380685), np.float32(-0.01760891), np.float32(0.030685455), np.float32(-0.036040395)]","[np.float32(1.7084017), np.float32(1.9920299), np.float32(1.5828941), np.float32(2.4332426), np.float32(1.8937577), np.float32(2.067255), np.float32(1.5927389), np.float32(1.6528913), np.float32(2.0863006), np.float32(1.533211)]"
3,"[np.float32(0.01838062), np.float32(-1.184232), np.float32(0.18821645), np.float32(-0.5651235), np.float32(0.22834426), np.float32(-0.3326112), np.float32(0.4192692), np.float32(0.09967824), np.float32(-0.13669148), np.float32(-0.051944416), np.float32(0.08955649), np.float32(-0.3254227), np.float32(0.11174777), np.float32(-0.1313427), np.float32(-0.18429276), np.float32(0.021755368), np.float32(0.059642702), np.float32(0.019005321), np.float32(-0.022943832), np.float32(0.025728159), np.float32(-0.046257105)]","[np.float32(1.6312456), np.float32(1.7390397), np.float32(1.2715371), np.float32(1.8516383), np.float32(1.9020783), np.float32(1.6769874), np.float32(1.6183788), np.float32(1.4026166), np.float32(1.530841), np.float32(1.9413949)]"
4,"[np.float32(0.01163397), np.float32(-0.78905237), np.float32(0.2662076), np.float32(0.3481784), np.float32(-0.557629), np.float32(0.04513763), np.float32(0.2648127), np.float32(0.053703986), np.float32(-0.09767182), np.float32(-0.21090057), np.float32(0.1133254), np.float32(-0.2982094), np.float32(0.123445764), np.float32(-0.09904978), np.float32(-0.14105058), np.float32(-0.032795638), np.float32(0.022130948), np.float32(0.02439566), np.float32(-0.017729148), np.float32(0.034120947), np.float32(-0.055969987)]","[np.float32(1.4297701), np.float32(1.7014976), np.float32(1.8474066), np.float32(2.1648016), np.float32(1.4166948), np.float32(1.8212777), np.float32(1.8850604), np.float32(1.6913109), np.float32(1.9682385), np.float32(1.4125977)]"
5,"[np.float32(0.036754), np.float32(-1.0246121), np.float32(0.18204388), np.float32(0.4520135), np.float32(-0.11714774), np.float32(0.24864201), np.float32(0.2796682), np.float32(0.099583186), np.float32(-0.12333831), np.float32(-0.14341775), np.float32(0.10214659), np.float32(-0.33477414), np.float32(0.096825786), np.float32(-0.08181356), np.float32(-0.16946158), np.float32(0.0017142519), np.float32(0.05851148), np.float32(0.036409378), np.float32(0.01302419), np.float32(0.03634779), np.float32(-0.0438584)]","[np.float32(1.908397), np.float32(1.5824666), np.float32(1.6503954), np.float32(2.2342653), np.float32(1.5370032), np.float32(1.4990144), np.float32(1.8728095), np.float32(1.5688467), np.float32(1.7049963), np.float32(1.5533717)]"
6,"[np.float32(0.012177598), np.float32(-0.69674325), np.float32(0.906892), np.float32(0.39149734), np.float32(-0.3019509), np.float32(0.12193686), np.float32(0.25060397), np.float32(0.0071178973), np.float32(-0.12282099), np.float32(-0.12838946), np.float32(0.13988248), np.float32(-0.33602557), np.float32(0.08876227), np.float32(-0.05796686), np.float32(-0.16886492), np.float32(0.043086648), np.float32(0.022767205), np.float32(0.0075123087), np.float32(0.017803583), np.float32(0.03882315), np.float32(-0.051706754)]","[np.float32(1.9346104), np.float32(1.2737863), np.float32(1.692935), np.float32(2.1141782), np.float32(1.5305661), np.float32(1.4032295), np.float32(1.8871993), np.float32(1.5932256), np.float32(2.0580747), np.float32(1.6583198)]"
7,"[np.float32(-0.07753412), np.float32(-0.2995684), np.float32(0.65368164), np.float32(0.021366023), np.float32(-0.21639627), np.float32(-0.44279286), np.float32(0.2867213), np.float32(0.015782371), np.float32(-0.11890532), np.float32(-0.07447495), np.float32(0.16066788), np.float32(-0.27644536), np.float32(0.09683515), np.float32(-0.12787732), np.float32(-0.14454812), np.float32(0.03774637), np.float32(0.005799381), np.float32(0.023063667), np.float32(-0.02173407), np.float32(0.026329286), np.float32(-0.044747487)]","[np.float32(1.585403), np.float32(1.5187021), np.float32(1.3794922), np.float32(2.0916638), np.float32(1.8018491), np.float32(1.6583569), np.float32(1.9306712), np.float32(1.6898298), np.float32(2.0501723), np.float32(1.8257666)]"
8,"[np.float32(-0.033498548), np.float32(-0.6488665), np.float32(-0.40489173), np.float32(0.98063374), np.float32(0.030514657), np.float32(0.06467383), np.float32(0.14212017), np.float32(0.21670584), np.float32(-0.047711626), np.float32(-0.089946255), np.float32(0.08329273), np.float32(-0.2838269), np.float32(0.12622035), np.float32(-0.12918878), np.float32(-0.12978786), np.float32(-0.03782259), np.float32(0.055023834), np.float32(0.051541746), np.float32(0.012725119), np.float32(0.0374154), np.float32(-0.010444626)]","[np.float32(1.963959), np.float32(1.7917463), np.float32(1.7629349), np.float32(2.0955513), np.float32(1.3365887), np.float32(1.9720025), np.float32(1.9647281), np.float32(2.4450057), np.float32(1.3808246), np.float32(1.7532412)]"
9,"[np.float32(-0.094771266), np.float32(-0.25362813), np.float32(-0.06401847), np.float32(0.38755783), np.float32(0.06696041), np.float32(-0.5749138), np.float32(0.20109098), np.float32(0.1127665), np.float32(-0.05055505), np.float32(-0.039463717), np.float32(0.14288762), np.float32(-0.23900259), np.float32(0.11430651), np.float32(-0.16098328), np.float32(-0.1531328), np.float32(0.0016825199), np.float32(0.051179215), np.float32(0.036021173), np.float32(-0.012938827), np.float32(0.040217403), np.float32(-0.017530702)]","[np.float32(1.62329), np.float32(1.762556), np.float32(1.164833), np.float32(2.3578854), np.float32(1.7564158), np.float32(1.9508408), np.float32(2.2865715), np.float32(1.7787822), np.float32(1.6802909), np.float32(1.8395302)]"
10,"[np.float32(-0.10981776), np.float32(-0.2596567), np.float32(-0.34109354), np.float32(0.052424885), np.float32(0.21711244), np.float32(0.19630753), np.float32(0.25666326), np.float32(0.09251999), np.float32(-0.092221454), np.float32(-0.07571319), np.float32(0.042316437), np.float32(-0.26573226), np.float32(0.07705643), np.float32(-0.08262103), np.float32(-0.15412514), np.float32(-0.009534314), np.float32(0.07589423), np.float32(0.04811035), np.float32(0.00027231686), np.float32(0.0363255), np.float32(-0.03217837)]","[np.float32(1.949044), np.float32(2.1317258), np.float32(1.5464674), np.float32(2.5126247), np.float32(1.8593433), np.float32(1.7829537), np.float32(1.8954371), np.float32(1.6511103), np.float32(1.6413021), np.float32(1.7042713)]"
