Iteration,test_preds,estimated_params
1,"[np.float32(0.5514079), np.float32(-4.809183), np.float32(-0.1815908), np.float32(0.24122357), np.float32(1.6546092), np.float32(0.42145082), np.float32(0.56765264), np.float32(0.44699597), np.float32(-0.059446722), np.float32(-0.2907188), np.float32(-0.007972315), np.float32(-0.37095752), np.float32(0.031511396), np.float32(-0.0734752), np.float32(-0.20002413), np.float32(0.015970908), np.float32(0.0896541), np.float32(-0.05014664), np.float32(0.08294071), np.float32(-0.03964708), np.float32(-0.00024273619)]","[np.float32(2.1985414), np.float32(2.1405125), np.float32(1.42364), np.float32(0.8233209), np.float32(1.1465914), np.float32(1.1797084), np.float32(1.1083629), np.float32(1.2815802), np.float32(1.0797489), np.float32(1.1936873)]"
2,"[np.float32(0.60256505), np.float32(-4.8705635), np.float32(0.33141437), np.float32(-0.3802812), np.float32(-0.66680866), np.float32(-0.62746626), np.float32(0.8142661), np.float32(0.34269673), np.float32(-0.11266568), np.float32(-0.18652435), np.float32(0.3416654), np.float32(-0.3561213), np.float32(0.12205371), np.float32(-0.08862786), np.float32(-0.14521834), np.float32(0.059374273), np.float32(0.053038403), np.float32(-0.0398688), np.float32(0.090723164), np.float32(0.03579994), np.float32(-0.03888904)]","[np.float32(1.3609095), np.float32(0.7110884), np.float32(1.5862904), np.float32(0.87057567), np.float32(1.1071578), np.float32(1.4806924), np.float32(1.1189547), np.float32(1.3709693), np.float32(1.2617831), np.float32(1.2912211)]"
3,"[np.float32(0.8797866), np.float32(-6.183065), np.float32(0.31968918), np.float32(-0.35391998), np.float32(-2.2179294), np.float32(-1.4132864), np.float32(0.8958237), np.float32(0.46985564), np.float32(-0.081535615), np.float32(-0.24523681), np.float32(0.16090247), np.float32(-0.34067863), np.float32(-0.05275747), np.float32(-0.14030066), np.float32(-0.051933467), np.float32(0.044172406), np.float32(0.124482036), np.float32(-0.0520038), np.float32(0.055378422), np.float32(0.040345557), np.float32(-0.091540754)]","[np.float32(0.55118924), np.float32(0.8011482), np.float32(1.9010787), np.float32(0.5912165), np.float32(1.0340382), np.float32(1.4649903), np.float32(0.97947866), np.float32(1.5903162), np.float32(1.1027131), np.float32(1.2718639)]"
4,"[np.float32(0.65987027), np.float32(-5.208007), np.float32(0.030753747), np.float32(-0.06645274), np.float32(-0.2368287), np.float32(-0.4754822), np.float32(0.7440522), np.float32(0.4330787), np.float32(-0.10903912), np.float32(-0.24299578), np.float32(0.18838805), np.float32(-0.34367), np.float32(0.03604491), np.float32(-0.12232977), np.float32(-0.17452407), np.float32(-0.0020831972), np.float32(0.021223802), np.float32(-0.0607782), np.float32(0.055290505), np.float32(0.02038028), np.float32(-0.06489501)]","[np.float32(1.0106144), np.float32(1.3561007), np.float32(1.6308669), np.float32(0.73933095), np.float32(1.1448216), np.float32(1.3250642), np.float32(1.2104762), np.float32(1.2685997), np.float32(1.1095694), np.float32(1.2580633)]"
5,"[np.float32(0.59186536), np.float32(-4.9414034), np.float32(0.5194309), np.float32(-0.15450162), np.float32(0.3586754), np.float32(0.0076248646), np.float32(0.7224946), np.float32(0.36751652), np.float32(-0.06448887), np.float32(-0.24337861), np.float32(0.16051894), np.float32(-0.37489745), np.float32(0.087321565), np.float32(-0.091171876), np.float32(-0.1835649), np.float32(0.01382114), np.float32(0.03996241), np.float32(-0.04341808), np.float32(0.080206506), np.float32(0.003344968), np.float32(-0.022272646)]","[np.float32(1.4120971), np.float32(1.4346439), np.float32(1.1577301), np.float32(1.2451658), np.float32(1.1097591), np.float32(1.2432716), np.float32(1.2616249), np.float32(1.0582227), np.float32(1.2700934), np.float32(1.26131)]"
6,"[np.float32(0.52374876), np.float32(-4.498862), np.float32(0.033542052), np.float32(0.04420936), np.float32(0.71502143), np.float32(0.15036806), np.float32(0.6338368), np.float32(0.36426443), np.float32(-0.08264631), np.float32(-0.24209318), np.float32(0.14635828), np.float32(-0.35839438), np.float32(0.09467533), np.float32(-0.069641545), np.float32(-0.1938815), np.float32(0.049716525), np.float32(0.06395419), np.float32(-0.040589526), np.float32(0.09458652), np.float32(0.006159775), np.float32(-0.0091662705)]","[np.float32(2.012593), np.float32(1.2905167), np.float32(1.1420928), np.float32(1.3073765), np.float32(1.2266077), np.float32(1.2239286), np.float32(1.2168417), np.float32(1.2421591), np.float32(1.2469548), np.float32(1.1781042)]"
7,"[np.float32(0.5246336), np.float32(-4.553788), np.float32(-0.014406055), np.float32(-0.1055612), np.float32(0.96761096), np.float32(0.14707956), np.float32(0.6468232), np.float32(0.39686757), np.float32(-0.06996012), np.float32(-0.2139596), np.float32(0.079751626), np.float32(-0.36452094), np.float32(0.075489014), np.float32(-0.091585934), np.float32(-0.19399938), np.float32(0.017682225), np.float32(0.064763844), np.float32(-0.03233233), np.float32(0.078377314), np.float32(-0.005478315), np.float32(-0.0033231825)]","[np.float32(1.9109961), np.float32(1.6396759), np.float32(1.1077943), np.float32(1.2590469), np.float32(1.2449288), np.float32(1.2522348), np.float32(1.1412729), np.float32(1.2774075), np.float32(1.1398617), np.float32(1.3009015)]"
8,"[np.float32(0.5597574), np.float32(-4.704765), np.float32(0.045112953), np.float32(0.24648058), np.float32(0.81128854), np.float32(0.039289236), np.float32(0.6190618), np.float32(0.40073898), np.float32(-0.08453941), np.float32(-0.22752327), np.float32(0.17942393), np.float32(-0.3675879), np.float32(0.09818706), np.float32(-0.049282342), np.float32(-0.18707836), np.float32(0.07101662), np.float32(0.07046588), np.float32(-0.043027982), np.float32(0.1165071), np.float32(0.009102568), np.float32(-0.014600344)]","[np.float32(2.1488655), np.float32(1.1100016), np.float32(1.4462551), np.float32(0.8776131), np.float32(1.1187752), np.float32(1.254127), np.float32(1.27034), np.float32(1.2102612), np.float32(1.1819643), np.float32(1.1925112)]"
9,"[np.float32(0.73179466), np.float32(-5.671359), np.float32(0.76877594), np.float32(-0.47571468), np.float32(-1.1142159), np.float32(-0.6597368), np.float32(0.9349721), np.float32(0.37816772), np.float32(-0.088013686), np.float32(-0.21313462), np.float32(0.344013), np.float32(-0.37188783), np.float32(0.035578758), np.float32(-0.07948658), np.float32(-0.12301113), np.float32(0.06325208), np.float32(0.07645552), np.float32(-0.052187502), np.float32(0.11183691), np.float32(0.010776237), np.float32(-0.040551253)]","[np.float32(1.1954385), np.float32(0.65414405), np.float32(1.8580649), np.float32(0.655313), np.float32(0.983462), np.float32(1.3818742), np.float32(0.927813), np.float32(1.4697287), np.float32(1.2617115), np.float32(1.2924066)]"
10,"[np.float32(0.9098547), np.float32(-6.446856), np.float32(0.673206), np.float32(-0.27643657), np.float32(-1.9577552), np.float32(-1.2833894), np.float32(0.94166875), np.float32(0.48844332), np.float32(-0.055646002), np.float32(-0.20367166), np.float32(0.24492924), np.float32(-0.34659573), np.float32(-0.039920375), np.float32(-0.12329164), np.float32(-0.07838321), np.float32(0.02957508), np.float32(0.09069008), np.float32(-0.052960515), np.float32(0.08240494), np.float32(0.028344505), np.float32(-0.048319258)]","[np.float32(0.6963755), np.float32(0.6913979), np.float32(1.6551697), np.float32(0.7155144), np.float32(0.98305917), np.float32(1.335021), np.float32(0.85570425), np.float32(1.7067), np.float32(1.1067597), np.float32(1.3074378)]"
11,"[np.float32(0.6415945), np.float32(-5.2947564), np.float32(-0.10527404), np.float32(-0.28290272), np.float32(0.41526678), np.float32(0.19106296), np.float32(0.73774385), np.float32(0.43834937), np.float32(-0.08781759), np.float32(-0.2917428), np.float32(0.09851068), np.float32(-0.34392047), np.float32(0.060077354), np.float32(-0.10042417), np.float32(-0.18569475), np.float32(0.0049330182), np.float32(0.03079778), np.float32(-0.073542506), np.float32(0.06924026), np.float32(0.013025526), np.float32(-0.026847929)]","[np.float32(1.2889974), np.float32(1.7059947), np.float32(1.1515652), np.float32(1.3193322), np.float32(1.1792803), np.float32(1.2444317), np.float32(1.2008499), np.float32(1.0287002), np.float32(1.1787411), np.float32(1.1294597)]"
