Iteration,test_preds,estimated_params
1,"[np.float32(2.773705), np.float32(-11.046503), np.float32(-5.751251), np.float32(-0.7100612), np.float32(0.027495742), np.float32(-2.7241435), np.float32(0.05522351), np.float32(0.29049087), np.float32(-0.1718857), np.float32(0.15603729), np.float32(-0.21456194), np.float32(-0.55015755), np.float32(0.08512908), np.float32(0.23110175), np.float32(-0.14588675), np.float32(0.17852885), np.float32(0.100046486), np.float32(-0.022135615), np.float32(0.110529006), np.float32(0.02022858), np.float32(-0.023477316)]","[np.float32(1.0362039), np.float32(1.0486205), np.float32(0.97168237), np.float32(1.0776956), np.float32(1.0225679), np.float32(0.965875), np.float32(0.9097698), np.float32(1.1257689), np.float32(1.036396), np.float32(0.9679276)]"
2,"[np.float32(2.951745), np.float32(-11.260688), np.float32(-6.057987), np.float32(-0.8318312), np.float32(-0.98240304), np.float32(-3.4855251), np.float32(0.22459437), np.float32(0.5511252), np.float32(0.09983817), np.float32(-0.046464175), np.float32(-0.06396538), np.float32(-0.65062517), np.float32(0.07611427), np.float32(0.2036779), np.float32(-0.14722869), np.float32(0.18139468), np.float32(0.12651916), np.float32(0.06717387), np.float32(0.16459994), np.float32(-0.0012013167), np.float32(-0.07585476)]","[np.float32(1.3612435), np.float32(0.33379096), np.float32(0.9693559), np.float32(1.0811267), np.float32(1.0113791), np.float32(0.98269624), np.float32(0.90582335), np.float32(1.1272634), np.float32(1.0408952), np.float32(0.9651082)]"
3,"[np.float32(2.36797), np.float32(-10.286431), np.float32(-4.965227), np.float32(-0.31429166), np.float32(2.269031), np.float32(-1.1227325), np.float32(0.0526509), np.float32(0.33675563), np.float32(-0.12599072), np.float32(0.09574049), np.float32(-0.2547009), np.float32(-0.5344243), np.float32(0.011158168), np.float32(0.20316678), np.float32(-0.0822629), np.float32(0.09525268), np.float32(0.18661425), np.float32(-0.15628189), np.float32(0.02595681), np.float32(-0.02392058), np.float32(0.03586191)]","[np.float32(1.6617733), np.float32(1.8939434), np.float32(0.9698094), np.float32(1.076691), np.float32(1.0091475), np.float32(0.98293763), np.float32(0.9583226), np.float32(1.0650613), np.float32(1.0309193), np.float32(0.9746075)]"
4,"[np.float32(2.7785), np.float32(-11.067724), np.float32(-5.7657037), np.float32(-0.719583), np.float32(-0.0026671886), np.float32(-2.7406256), np.float32(0.037982658), np.float32(0.2618195), np.float32(-0.20145361), np.float32(0.17848432), np.float32(-0.2274037), np.float32(-0.5403497), np.float32(0.08934286), np.float32(0.23413867), np.float32(-0.14795634), np.float32(0.18108675), np.float32(0.094637886), np.float32(-0.02696994), np.float32(0.10804006), np.float32(0.022588521), np.float32(-0.019440532)]","[np.float32(0.9574992), np.float32(1.1253914), np.float32(0.9722691), np.float32(1.0771817), np.float32(1.0239127), np.float32(0.9648178), np.float32(0.910035), np.float32(1.1253557), np.float32(1.0355335), np.float32(0.9706293)]"
5,"[np.float32(2.8041418), np.float32(-11.102612), np.float32(-5.8107085), np.float32(-0.7391385), np.float32(-0.14231646), np.float32(-2.8455348), np.float32(0.055195868), np.float32(0.28525674), np.float32(-0.17655383), np.float32(0.16151051), np.float32(-0.20840609), np.float32(-0.5524533), np.float32(0.091026545), np.float32(0.23206586), np.float32(-0.15058845), np.float32(0.18345848), np.float32(0.09522383), np.float32(-0.012224704), np.float32(0.11710562), np.float32(0.022895873), np.float32(-0.027773444)]","[np.float32(0.99141276), np.float32(1.0111306), np.float32(0.97163004), np.float32(1.0785025), np.float32(1.0233941), np.float32(0.9654332), np.float32(0.9084774), np.float32(1.1283106), np.float32(1.035629), np.float32(0.969332)]"
6,"[np.float32(2.4507606), np.float32(-10.428931), np.float32(-5.1195273), np.float32(-0.39351368), np.float32(1.8154068), np.float32(-1.4540266), np.float32(0.08355357), np.float32(0.38476843), np.float32(-0.08031327), np.float32(0.06755781), np.float32(-0.23842007), np.float32(-0.5490604), np.float32(0.018292636), np.float32(0.21113732), np.float32(-0.09338838), np.float32(0.116722494), np.float32(0.16746058), np.float32(-0.11650327), np.float32(0.047686987), np.float32(-0.015486792), np.float32(0.014872413)]","[np.float32(1.6513975), np.float32(1.43968), np.float32(0.9580927), np.float32(1.0920995), np.float32(1.0235063), np.float32(0.9679796), np.float32(0.95299965), np.float32(1.0687121), np.float32(1.0351068), np.float32(0.97145504)]"
7,"[np.float32(2.5969367), np.float32(-10.7246475), np.float32(-5.408924), np.float32(-0.54442257), np.float32(1.0106218), np.float32(-2.019585), np.float32(0.052439302), np.float32(0.31730264), np.float32(-0.14779994), np.float32(0.12580217), np.float32(-0.25266573), np.float32(-0.53503406), np.float32(0.051449686), np.float32(0.22829139), np.float32(-0.11790842), np.float32(0.15118873), np.float32(0.12661599), np.float32(-0.0831615), np.float32(0.07085501), np.float32(0.004632637), np.float32(0.0023987405)]","[np.float32(1.2403144), np.float32(1.3432633), np.float32(0.9670351), np.float32(1.0812778), np.float32(1.0245854), np.float32(0.96501726), np.float32(0.9330294), np.float32(1.0944381), np.float32(1.0325375), np.float32(0.97021323)]"
8,"[np.float32(2.600593), np.float32(-10.707567), np.float32(-5.407525), np.float32(-0.54008555), np.float32(0.99386823), np.float32(-2.042279), np.float32(0.090403944), np.float32(0.38021165), np.float32(-0.08417153), np.float32(0.078866765), np.float32(-0.22413749), np.float32(-0.556444), np.float32(0.04446143), np.float32(0.2242113), np.float32(-0.11587736), np.float32(0.14989221), np.float32(0.13392289), np.float32(-0.06695545), np.float32(0.079331964), np.float32(0.0011933595), np.float32(-0.00914884)]","[np.float32(1.4134966), np.float32(1.124488), np.float32(0.9592143), np.float32(1.0908593), np.float32(1.0303847), np.float32(0.96079123), np.float32(0.93368185), np.float32(1.0937839), np.float32(1.0346445), np.float32(0.9696547)]"
9,"[np.float32(2.892043), np.float32(-11.2514), np.float32(-5.9775653), np.float32(-0.81680083), np.float32(-0.63217545), np.float32(-3.2006114), np.float32(0.07150151), np.float32(0.29553485), np.float32(-0.1633403), np.float32(0.15698782), np.float32(-0.17520839), np.float32(-0.5694104), np.float32(0.10470116), np.float32(0.22991422), np.float32(-0.1623775), np.float32(0.19390544), np.float32(0.088171855), np.float32(0.021469474), np.float32(0.13903318), np.float32(0.027337149), np.float32(-0.04361564)]","[np.float32(0.9283528), np.float32(0.8461276), np.float32(0.9723938), np.float32(1.0812478), np.float32(1.0194521), np.float32(0.96952134), np.float32(0.90815884), np.float32(1.1294763), np.float32(1.0363065), np.float32(0.9680482)]"
10,"[np.float32(2.7059028), np.float32(-10.936262), np.float32(-5.6249504), np.float32(-0.6510909), np.float32(0.4013182), np.float32(-2.4503932), np.float32(0.03432767), np.float32(0.26831725), np.float32(-0.19617595), np.float32(0.16944003), np.float32(-0.2447235), np.float32(-0.5327818), np.float32(0.07594615), np.float32(0.23223484), np.float32(-0.13667107), np.float32(0.16936967), np.float32(0.10562174), np.float32(-0.05292368), np.float32(0.09123842), np.float32(0.016189069), np.float32(-0.007792078)]","[np.float32(1.0362957), np.float32(1.2581271), np.float32(0.97412384), np.float32(1.073008), np.float32(1.0226974), np.float32(0.9651203), np.float32(0.9138551), np.float32(1.1192397), np.float32(1.0336413), np.float32(0.9695884)]"
