Iteration,test_preds,estimated_params
1,"[np.float32(2.3394542), np.float32(-10.232005), np.float32(-4.910613), np.float32(-0.28437358), np.float32(2.4264016), np.float32(-1.0096252), np.float32(0.046893805), np.float32(0.3259679), np.float32(-0.13546354), np.float32(0.101263635), np.float32(-0.2518039), np.float32(-0.5340818), np.float32(0.008515507), np.float32(0.19775638), np.float32(-0.07871738), np.float32(0.085906774), np.float32(0.19635285), np.float32(-0.1665578), np.float32(0.020691715), np.float32(-0.027621478), np.float32(0.041130118)]","[np.float32(1.7330483), np.float32(2.0102668), np.float32(0.96816546), np.float32(1.078394), np.float32(1.0075256), np.float32(0.98519135), np.float32(0.95891714), np.float32(1.0647016), np.float32(1.0312986), np.float32(0.97566724)]"
2,"[np.float32(2.522623), np.float32(-10.619324), np.float32(-5.2762413), np.float32(-0.4854745), np.float32(1.4229683), np.float32(-1.707768), np.float32(0.0019791424), np.float32(0.247901), np.float32(-0.21848887), np.float32(0.16990024), np.float32(-0.30260542), np.float32(-0.501691), np.float32(0.047893643), np.float32(0.23206195), np.float32(-0.10822719), np.float32(0.14231212), np.float32(0.12879707), np.float32(-0.13272944), np.float32(0.04344712), np.float32(0.0004813522), np.float32(0.027650073)]","[np.float32(1.0492746), np.float32(1.9105134), np.float32(0.9764757), np.float32(1.0690529), np.float32(1.0128546), np.float32(0.9754167), np.float32(0.9397863), np.float32(1.0870739), np.float32(1.0336541), np.float32(0.9746239)]"
3,"[np.float32(2.3117855), np.float32(-10.165745), np.float32(-4.853936), np.float32(-0.24997535), np.float32(2.5778925), np.float32(-0.90624464), np.float32(0.06072706), np.float32(0.3461411), np.float32(-0.11485579), np.float32(0.08666153), np.float32(-0.23181844), np.float32(-0.54573774), np.float32(0.0020253062), np.float32(0.18739209), np.float32(-0.07541108), np.float32(0.07435581), np.float32(0.21107918), np.float32(-0.16512108), np.float32(0.020718917), np.float32(-0.03329152), np.float32(0.040490165)]","[np.float32(1.9357811), np.float32(1.9563618), np.float32(0.9632216), np.float32(1.0830321), np.float32(1.0136901), np.float32(0.9798428), np.float32(0.9596981), np.float32(1.0629958), np.float32(1.0306698), np.float32(0.9745544)]"
4,"[np.float32(2.299529), np.float32(-10.139105), np.float32(-4.8295655), np.float32(-0.2359454), np.float32(2.6463153), np.float32(-0.8582636), np.float32(0.06279558), np.float32(0.34870127), np.float32(-0.11194393), np.float32(0.08446694), np.float32(-0.2263886), np.float32(-0.5485122), np.float32(0.00014814734), np.float32(0.18396825), np.float32(-0.074135184), np.float32(0.07000816), np.float32(0.21629623), np.float32(-0.16658452), np.float32(0.019891195), np.float32(-0.035219148), np.float32(0.041124277)]","[np.float32(2.0032659), np.float32(1.9585744), np.float32(0.9623719), np.float32(1.084508), np.float32(1.0117509), np.float32(0.9824194), np.float32(0.95956576), np.float32(1.0660108), np.float32(1.0314788), np.float32(0.9747131)]"
5,"[np.float32(2.3471136), np.float32(-10.245982), np.float32(-4.9251137), np.float32(-0.29211694), np.float32(2.383869), np.float32(-1.0405024), np.float32(0.049453437), np.float32(0.33052292), np.float32(-0.13132687), np.float32(0.098699614), np.float32(-0.2518435), np.float32(-0.53473216), np.float32(0.008958429), np.float32(0.1989412), np.float32(-0.07962003), np.float32(0.08827169), np.float32(0.19401477), np.float32(-0.16328782), np.float32(0.0223049), np.float32(-0.02677083), np.float32(0.039491344)]","[np.float32(1.7202922), np.float32(1.9709892), np.float32(0.9664936), np.float32(1.0788351), np.float32(1.0091357), np.float32(0.98360044), np.float32(0.95692205), np.float32(1.0662858), np.float32(1.0313976), np.float32(0.97560394)]"
6,"[np.float32(2.2863524), np.float32(-10.099443), np.float32(-4.7999363), np.float32(-0.21644756), np.float32(2.7213006), np.float32(-0.80914545), np.float32(0.07991415), np.float32(0.37541807), np.float32(-0.08586321), np.float32(0.06656653), np.float32(-0.20753413), np.float32(-0.5606988), np.float32(-0.0047065318), np.float32(0.17582756), np.float32(-0.073210746), np.float32(0.06373796), np.float32(0.22570083), np.float32(-0.15905038), np.float32(0.023156852), np.float32(-0.039023682), np.float32(0.037124805)]","[np.float32(2.1877043), np.float32(1.8229355), np.float32(0.96133417), np.float32(1.0861309), np.float32(1.0119115), np.float32(0.9838483), np.float32(0.9595164), np.float32(1.0664542), np.float32(1.0307246), np.float32(0.97615063)]"
7,"[np.float32(2.2315981), np.float32(-10.021795), np.float32(-4.7027583), np.float32(-0.17094627), np.float32(3.0360546), np.float32(-0.5730102), np.float32(0.026459724), np.float32(0.28355393), np.float32(-0.17115116), np.float32(0.1230873), np.float32(-0.23000824), np.float32(-0.5382948), np.float32(0.0020773113), np.float32(0.1778552), np.float32(-0.06803462), np.float32(0.05151789), np.float32(0.2337807), np.float32(-0.20093037), np.float32(0.005986169), np.float32(-0.03951037), np.float32(0.055952743)]","[np.float32(2.063911), np.float32(2.4534194), np.float32(0.9691703), np.float32(1.0753523), np.float32(1.00429), np.float32(0.99087894), np.float32(0.9595981), np.float32(1.0714939), np.float32(1.0292764), np.float32(0.97907066)]"
8,"[np.float32(2.2224517), np.float32(-9.990301), np.float32(-4.6816473), np.float32(-0.15485463), np.float32(3.0853667), np.float32(-0.5424783), np.float32(0.04375246), np.float32(0.31013468), np.float32(-0.14548804), np.float32(0.1067464), np.float32(-0.2118603), np.float32(-0.5501001), np.float32(-0.0026572943), np.float32(0.16973233), np.float32(-0.067735344), np.float32(0.04560691), np.float32(0.24238114), np.float32(-0.19171189), np.float32(0.009574048), np.float32(-0.042951018), np.float32(0.05204679)]","[np.float32(2.258095), np.float32(2.2644508), np.float32(0.9615189), np.float32(1.0849212), np.float32(1.0068364), np.float32(0.987916), np.float32(0.95920545), np.float32(1.0714003), np.float32(1.0304574), np.float32(0.97661173)]"
9,"[np.float32(2.2138174), np.float32(-9.990673), np.float32(-4.6691456), np.float32(-0.15413731), np.float32(3.1410284), np.float32(-0.49618754), np.float32(0.016162217), np.float32(0.26445132), np.float32(-0.18822716), np.float32(0.13403928), np.float32(-0.22953755), np.float32(-0.53608924), np.float32(0.0034841895), np.float32(0.17645752), np.float32(-0.06682184), np.float32(0.04678668), np.float32(0.23846921), np.float32(-0.20998096), np.float32(0.0030607283), np.float32(-0.04027483), np.float32(0.05925312)]","[np.float32(2.0926337), np.float32(2.5884967), np.float32(0.97207177), np.float32(1.0743496), np.float32(1.0008328), np.float32(0.9943952), np.float32(0.9540807), np.float32(1.0795212), np.float32(1.0283864), np.float32(0.9798829)]"
10,"[np.float32(2.234243), np.float32(-10.0061655), np.float32(-4.702366), np.float32(-0.16421685), np.float32(3.0167336), np.float32(-0.5941546), np.float32(0.05668506), np.float32(0.33249077), np.float32(-0.12485772), np.float32(0.0930807), np.float32(-0.20643732), np.float32(-0.5554967), np.float32(-0.0046639442), np.float32(0.16868871), np.float32(-0.068784565), np.float32(0.048034728), np.float32(0.24097438), np.float32(-0.1819169), np.float32(0.013377331), np.float32(-0.043174654), np.float32(0.047843844)]","[np.float32(2.2886648), np.float32(2.1192155), np.float32(0.9597371), np.float32(1.087171), np.float32(1.0099443), np.float32(0.98466134), np.float32(0.95620877), np.float32(1.0734822), np.float32(1.0287688), np.float32(0.97608507)]"
11,"[np.float32(2.2812731), np.float32(-10.097904), np.float32(-4.792778), np.float32(-0.21441829), np.float32(2.7489965), np.float32(-0.7865729), np.float32(0.06759241), np.float32(0.3551689), np.float32(-0.105108365), np.float32(0.07959069), np.float32(-0.21644539), np.float32(-0.5538976), np.float32(-0.0028220415), np.float32(0.17821395), np.float32(-0.07246715), np.float32(0.06336716), np.float32(0.22450632), np.float32(-0.16746813), np.float32(0.019352093), np.float32(-0.038243324), np.float32(0.04136177)]","[np.float32(2.1213648), np.float32(1.949653), np.float32(0.95914716), np.float32(1.0882295), np.float32(1.0118904), np.float32(0.9834416), np.float32(0.9595966), np.float32(1.0660878), np.float32(1.0311793), np.float32(0.9753008)]"
12,"[np.float32(2.4330409), np.float32(-10.401941), np.float32(-5.0875463), np.float32(-0.3782258), np.float32(1.912334), np.float32(-1.3820829), np.float32(0.07324664), np.float32(0.36951435), np.float32(-0.095272884), np.float32(0.07726459), np.float32(-0.24697918), np.float32(-0.54294986), np.float32(0.017224938), np.float32(0.21116251), np.float32(-0.09101796), np.float32(0.11332363), np.float32(0.16958186), np.float32(-0.12712911), np.float32(0.041787535), np.float32(-0.016608), np.float32(0.020537373)]","[np.float32(1.6196113), np.float32(1.5605016), np.float32(0.96102315), np.float32(1.0880708), np.float32(1.0192479), np.float32(0.97273), np.float32(0.9565307), np.float32(1.0654798), np.float32(1.0338098), np.float32(0.9717975)]"
13,"[np.float32(2.4746218), np.float32(-10.501684), np.float32(-5.1739826), np.float32(-0.42877728), np.float32(1.6870742), np.float32(-1.5338997), np.float32(0.0460397), np.float32(0.32481453), np.float32(-0.14048135), np.float32(0.11139475), np.float32(-0.2734924), np.float32(-0.52532256), np.float32(0.02987969), np.float32(0.22373131), np.float32(-0.09826377), np.float32(0.12886143), np.float32(0.14895345), np.float32(-0.1283446), np.float32(0.042993534), np.float32(-0.007820517), np.float32(0.022023544)]","[np.float32(1.3504667), np.float32(1.6755766), np.float32(0.9663098), np.float32(1.0810786), np.float32(1.015147), np.float32(0.975712), np.float32(0.9549458), np.float32(1.067823), np.float32(1.0324514), np.float32(0.973456)]"
14,"[np.float32(2.231425), np.float32(-10.012234), np.float32(-4.7001123), np.float32(-0.16648489), np.float32(3.0342228), np.float32(-0.5777544), np.float32(0.040080547), np.float32(0.30555102), np.float32(-0.1502791), np.float32(0.109661564), np.float32(-0.21927413), np.float32(-0.54608643), np.float32(-0.0012218058), np.float32(0.17357868), np.float32(-0.068160325), np.float32(0.04947251), np.float32(0.2374648), np.float32(-0.19273104), np.float32(0.009029098), np.float32(-0.04130891), np.float32(0.05256457)]","[np.float32(2.1672091), np.float32(2.305672), np.float32(0.9643675), np.float32(1.0819874), np.float32(1.0068215), np.float32(0.98857564), np.float32(0.95838314), np.float32(1.0713782), np.float32(1.0293572), np.float32(0.977553)]"
15,"[np.float32(2.401679), np.float32(-10.308387), np.float32(-5.0165563), np.float32(-0.33194134), np.float32(2.0860922), np.float32(-1.2693512), np.float32(0.1140821), np.float32(0.43358472), np.float32(-0.03161246), np.float32(0.030873992), np.float32(-0.20344576), np.float32(-0.57095534), np.float32(0.0046294034), np.float32(0.19233483), np.float32(-0.08627662), np.float32(0.09714739), np.float32(0.19345218), np.float32(-0.11356792), np.float32(0.047487147), np.float32(-0.026883855), np.float32(0.012882508)]","[np.float32(2.0016222), np.float32(1.3261365), np.float32(0.952797), np.float32(1.09727), np.float32(1.0236028), np.float32(0.9675721), np.float32(0.9505159), np.float32(1.0735139), np.float32(1.0332164), np.float32(0.9724112)]"
16,"[np.float32(2.2512102), np.float32(-10.064881), np.float32(-4.741755), np.float32(-0.19369838), np.float32(2.9252694), np.float32(-0.65039027), np.float32(0.02340269), np.float32(0.28081703), np.float32(-0.17481174), np.float32(0.12546453), np.float32(-0.24035722), np.float32(-0.5331635), np.float32(0.0044713914), np.float32(0.183362), np.float32(-0.06963265), np.float32(0.05871983), np.float32(0.2251001), np.float32(-0.19914597), np.float32(0.006610602), np.float32(-0.036767766), np.float32(0.055411533)]","[np.float32(1.9354762), np.float32(2.4517212), np.float32(0.96786857), np.float32(1.0795213), np.float32(1.0056741), np.float32(0.9864871), np.float32(0.9568507), np.float32(1.0738958), np.float32(1.0309061), np.float32(0.9758431)]"
17,"[np.float32(2.187491), np.float32(-9.9254875), np.float32(-4.6150823), np.float32(-0.119309515), np.float32(3.2902825), np.float32(-0.39371055), np.float32(0.027615547), np.float32(0.27831462), np.float32(-0.17358539), np.float32(0.12571292), np.float32(-0.20632616), np.float32(-0.5486701), np.float32(-0.000703156), np.float32(0.16470003), np.float32(-0.065815866), np.float32(0.034798816), np.float32(0.25352508), np.float32(-0.20620474), np.float32(0.0050862283), np.float32(-0.045120284), np.float32(0.057551622)]","[np.float32(2.3508918), np.float32(2.4872684), np.float32(0.96182126), np.float32(1.0857332), np.float32(1.0058893), np.float32(0.9899711), np.float32(0.9577829), np.float32(1.0772175), np.float32(1.0274006), np.float32(0.9817542)]"
18,"[np.float32(2.3332438), np.float32(-10.210138), np.float32(-4.895974), np.float32(-0.27370656), np.float32(2.4588377), np.float32(-0.9905005), np.float32(0.060166776), np.float32(0.34651184), np.float32(-0.11524214), np.float32(0.087430656), np.float32(-0.23847693), np.float32(-0.5428502), np.float32(0.0048309565), np.float32(0.19260627), np.float32(-0.077836245), np.float32(0.08174801), np.float32(0.20266145), np.float32(-0.16053158), np.float32(0.023161389), np.float32(-0.030151933), np.float32(0.038245082)]","[np.float32(1.8534762), np.float32(1.9056154), np.float32(0.9699633), np.float32(1.0776091), np.float32(1.007091), np.float32(0.98593646), np.float32(0.9564735), np.float32(1.067187), np.float32(1.0312355), np.float32(0.975007)]"
19,"[np.float32(2.3622832), np.float32(-10.275467), np.float32(-4.954293), np.float32(-0.308248), np.float32(2.3002496), np.float32(-1.1003101), np.float32(0.051743776), np.float32(0.33504462), np.float32(-0.12748553), np.float32(0.09655663), np.float32(-0.25402665), np.float32(-0.5344659), np.float32(0.010560036), np.float32(0.20205027), np.float32(-0.08153039), np.float32(0.09335674), np.float32(0.1885902), np.float32(-0.15823033), np.float32(0.02491907), np.float32(-0.024691567), np.float32(0.036888085)]","[np.float32(1.6813413), np.float32(1.9125766), np.float32(0.9667076), np.float32(1.0804478), np.float32(1.0102723), np.float32(0.9822557), np.float32(0.96087354), np.float32(1.0622646), np.float32(1.03119), np.float32(0.9742586)]"
20,"[np.float32(2.3451252), np.float32(-10.23041), np.float32(-4.9180136), np.float32(-0.2851104), np.float32(2.3929415), np.float32(-1.038804), np.float32(0.06583306), np.float32(0.3560997), np.float32(-0.10631792), np.float32(0.081653565), np.float32(-0.2366654), np.float32(-0.545038), np.float32(0.0052475333), np.float32(0.1938321), np.float32(-0.07925835), np.float32(0.08505693), np.float32(0.19968161), np.float32(-0.15443808), np.float32(0.026157543), np.float32(-0.029066741), np.float32(0.03515942)]","[np.float32(1.8488207), np.float32(1.8266841), np.float32(0.9636105), np.float32(1.0834502), np.float32(1.0116408), np.float32(0.9814649), np.float32(0.9579503), np.float32(1.0638508), np.float32(1.0307546), np.float32(0.97319007)]"
21,"[np.float32(2.5016117), np.float32(-10.21008), np.float32(-4.4904675), np.float32(-0.7501484), np.float32(-2.3752072), np.float32(-0.8152503), np.float32(0.13676637), np.float32(0.1435774), np.float32(0.0033095255), np.float32(0.17156094), np.float32(-0.16040951), np.float32(-0.35125035), np.float32(-0.010157764), np.float32(0.08423495), np.float32(-0.0815942), np.float32(0.11086744), np.float32(-0.063520275), np.float32(0.12279785), np.float32(0.07603196), np.float32(-0.044544432), np.float32(0.0077494606)]","[np.float32(1.0485886), np.float32(0.97420824), np.float32(1.8340398), np.float32(1.6857879), np.float32(1.0374266), np.float32(0.9450885), np.float32(0.94412166), np.float32(1.082078), np.float32(1.0098014), np.float32(0.98959774)]"
