scenario,scenario_display,sample_idx,target_region,target_region_idx,aggregate_type,method,mse,mae,crps,interval_score,ci_width,coverage
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Overall Avg,Point Estimate,0.050360,0.152983,0.152983,,0.000000,
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Overall Avg,MCMC,0.011860,,0.083768,1.002043,1.002043,1.000000
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Diseased Avg,Point Estimate,0.050360,0.152983,0.152983,,0.000000,
HCM,Multi-territory MI (μ=1.7),0,All Regions,-1,Diseased Avg,MCMC,0.011860,,0.083768,1.002043,1.002043,1.000000
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Overall Avg,Point Estimate,0.034676,0.132182,0.132182,,0.000000,
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Overall Avg,MCMC,0.007259,,0.096107,1.230568,1.230568,1.000000
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Diseased Avg,Point Estimate,0.034676,0.132182,0.132182,,0.000000,
HCM,Multi-territory MI (μ=1.7),1,All Regions,-1,Diseased Avg,MCMC,0.007259,,0.096107,1.230568,1.230568,1.000000
HCM,Multi-territory MI (μ=1.7),2,All Regions,-1,Overall Avg,Point Estimate,0.033610,0.107061,0.107061,,0.000000,
HCM,Multi-territory MI (μ=1.7),2,All Regions,-1,Overall Avg,MCMC,0.011039,,0.087793,1.067348,1.067348,1.000000
HCM,Multi-territory MI (μ=1.7),2,All Regions,-1,Diseased Avg,Point Estimate,0.033610,0.107061,0.107061,,0.000000,
HCM,Multi-territory MI (μ=1.7),2,All Regions,-1,Diseased Avg,MCMC,0.011039,,0.087793,1.067348,1.067348,1.000000
HCM,Multi-territory MI (μ=1.7),3,All Regions,-1,Overall Avg,Point Estimate,0.046730,0.123873,0.123873,,0.000000,
HCM,Multi-territory MI (μ=1.7),3,All Regions,-1,Overall Avg,MCMC,0.012433,,0.095377,1.183440,1.183440,1.000000
HCM,Multi-territory MI (μ=1.7),3,All Regions,-1,Diseased Avg,Point Estimate,0.046730,0.123873,0.123873,,0.000000,
HCM,Multi-territory MI (μ=1.7),3,All Regions,-1,Diseased Avg,MCMC,0.012433,,0.095377,1.183440,1.183440,1.000000
HCM,Multi-territory MI (μ=1.7),4,All Regions,-1,Overall Avg,Point Estimate,0.043999,0.128608,0.128608,,0.000000,
HCM,Multi-territory MI (μ=1.7),4,All Regions,-1,Overall Avg,MCMC,0.017470,,0.090496,1.089139,1.089139,1.000000
HCM,Multi-territory MI (μ=1.7),4,All Regions,-1,Diseased Avg,Point Estimate,0.043999,0.128608,0.128608,,0.000000,
HCM,Multi-territory MI (μ=1.7),4,All Regions,-1,Diseased Avg,MCMC,0.017470,,0.090496,1.089139,1.089139,1.000000
HCM,Multi-territory MI (μ=1.7),5,All Regions,-1,Overall Avg,Point Estimate,0.032201,0.118850,0.118850,,0.000000,
HCM,Multi-territory MI (μ=1.7),5,All Regions,-1,Overall Avg,MCMC,0.027775,,0.101805,1.075443,1.075443,1.000000
HCM,Multi-territory MI (μ=1.7),5,All Regions,-1,Diseased Avg,Point Estimate,0.032201,0.118850,0.118850,,0.000000,
HCM,Multi-territory MI (μ=1.7),5,All Regions,-1,Diseased Avg,MCMC,0.027775,,0.101805,1.075443,1.075443,1.000000
HCM,Multi-territory MI (μ=1.7),6,All Regions,-1,Overall Avg,Point Estimate,0.055548,0.155051,0.155051,,0.000000,
HCM,Multi-territory MI (μ=1.7),6,All Regions,-1,Overall Avg,MCMC,0.007771,,0.089414,1.129422,1.129422,1.000000
HCM,Multi-territory MI (μ=1.7),6,All Regions,-1,Diseased Avg,Point Estimate,0.055548,0.155051,0.155051,,0.000000,
HCM,Multi-territory MI (μ=1.7),6,All Regions,-1,Diseased Avg,MCMC,0.007771,,0.089414,1.129422,1.129422,1.000000
HCM,Multi-territory MI (μ=1.7),7,All Regions,-1,Overall Avg,Point Estimate,0.015809,0.084100,0.084100,,0.000000,
HCM,Multi-territory MI (μ=1.7),7,All Regions,-1,Overall Avg,MCMC,0.010471,,0.097801,1.211994,1.211994,1.000000
HCM,Multi-territory MI (μ=1.7),7,All Regions,-1,Diseased Avg,Point Estimate,0.015809,0.084100,0.084100,,0.000000,
HCM,Multi-territory MI (μ=1.7),7,All Regions,-1,Diseased Avg,MCMC,0.010471,,0.097801,1.211994,1.211994,1.000000
HCM,Multi-territory MI (μ=1.7),8,All Regions,-1,Overall Avg,Point Estimate,0.055244,0.174894,0.174894,,0.000000,
HCM,Multi-territory MI (μ=1.7),8,All Regions,-1,Overall Avg,MCMC,0.008814,,0.097526,1.222218,1.222218,1.000000
HCM,Multi-territory MI (μ=1.7),8,All Regions,-1,Diseased Avg,Point Estimate,0.055244,0.174894,0.174894,,0.000000,
HCM,Multi-territory MI (μ=1.7),8,All Regions,-1,Diseased Avg,MCMC,0.008814,,0.097526,1.222218,1.222218,1.000000
HCM,Multi-territory MI (μ=1.7),9,All Regions,-1,Overall Avg,Point Estimate,0.032958,0.120199,0.120199,,0.000000,
HCM,Multi-territory MI (μ=1.7),9,All Regions,-1,Overall Avg,MCMC,0.006221,,0.091688,1.206850,1.206850,1.000000
HCM,Multi-territory MI (μ=1.7),9,All Regions,-1,Diseased Avg,Point Estimate,0.032958,0.120199,0.120199,,0.000000,
HCM,Multi-territory MI (μ=1.7),9,All Regions,-1,Diseased Avg,MCMC,0.006221,,0.091688,1.206850,1.206850,1.000000
HCM,Multi-territory MI (μ=1.7),10,All Regions,-1,Overall Avg,Point Estimate,0.026405,0.107712,0.107712,,0.000000,
HCM,Multi-territory MI (μ=1.7),10,All Regions,-1,Overall Avg,MCMC,0.006140,,0.091456,1.155343,1.155343,1.000000
HCM,Multi-territory MI (μ=1.7),10,All Regions,-1,Diseased Avg,Point Estimate,0.026405,0.107712,0.107712,,0.000000,
HCM,Multi-territory MI (μ=1.7),10,All Regions,-1,Diseased Avg,MCMC,0.006140,,0.091456,1.155343,1.155343,1.000000
