scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Anterior,0,Global,Point Estimate,0.005832,0.075864,0.075864,,0.000000,,0.005832
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Anterior,0,Global,MCMC,0.000814,,0.072843,0.984756,0.984756,1.000000,0.000814
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Inferior,1,Global,Point Estimate,0.218405,0.460601,0.460601,,0.000000,,0.218405
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Inferior,1,Global,MCMC,0.010653,,0.111257,1.498845,1.498845,1.000000,0.010653
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Lateral,2,Global,Point Estimate,0.005297,0.072387,0.072387,,0.000000,,0.005297
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Lateral,2,Global,MCMC,0.000045,,0.045183,0.642030,0.642030,1.000000,0.000045
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Septal,3,Global,Point Estimate,0.022080,0.145338,0.145338,,0.000000,,0.022080
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Septal,3,Global,MCMC,0.047774,,0.147525,1.355235,1.355235,1.000000,0.047774
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Apical,4,Global,Point Estimate,0.000188,0.010724,0.010724,,0.000000,,0.000188
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Apical,4,Global,MCMC,0.000013,,0.042034,0.589208,0.589208,1.000000,0.000013
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Anterior,0,Global,Point Estimate,0.008438,0.090414,0.090414,,0.000000,,0.008438
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Anterior,0,Global,MCMC,0.000756,,0.086480,1.119640,1.119640,1.000000,0.000756
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Inferior,1,Global,Point Estimate,0.144103,0.368374,0.368374,,0.000000,,0.144103
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Inferior,1,Global,MCMC,0.007588,,0.144300,2.085077,2.085077,1.000000,0.007588
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Lateral,2,Global,Point Estimate,0.001874,0.043001,0.043001,,0.000000,,0.001874
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Lateral,2,Global,MCMC,0.000406,,0.070184,0.953228,0.953228,1.000000,0.000406
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Septal,3,Global,Point Estimate,0.018118,0.130424,0.130424,,0.000000,,0.018118
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Septal,3,Global,MCMC,0.027367,,0.134249,1.442779,1.442779,1.000000,0.027367
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Apical,4,Global,Point Estimate,0.000846,0.028695,0.028695,,0.000000,,0.000846
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Apical,4,Global,MCMC,0.000177,,0.045322,0.673544,0.673544,1.000000,0.000177
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Anterior,0,Global,Point Estimate,0.000196,0.013753,0.013753,,0.000000,,0.000196
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Anterior,0,Global,MCMC,0.002493,,0.083290,1.088864,1.088864,1.000000,0.002493
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Inferior,1,Global,Point Estimate,0.160507,0.393901,0.393901,,0.000000,,0.160507
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Inferior,1,Global,MCMC,0.000447,,0.103076,1.495555,1.495555,1.000000,0.000447
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Lateral,2,Global,Point Estimate,0.005365,0.073145,0.073145,,0.000000,,0.005365
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Lateral,2,Global,MCMC,0.005467,,0.066939,0.828188,0.828188,1.000000,0.005467
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Septal,3,Global,Point Estimate,0.001684,0.041031,0.041031,,0.000000,,0.001684
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Septal,3,Global,MCMC,0.045760,,0.137043,1.394452,1.394452,1.000000,0.045760
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Apical,4,Global,Point Estimate,0.000298,0.013477,0.013477,,0.000000,,0.000298
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Apical,4,Global,MCMC,0.001030,,0.048618,0.648462,0.648462,1.000000,0.001030
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Anterior,0,Global,Point Estimate,0.000028,0.005236,0.005236,,0.000000,,0.000028
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Anterior,0,Global,MCMC,0.000799,,0.071250,0.935956,0.935956,1.000000,0.000799
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Inferior,1,Global,Point Estimate,0.215980,0.457498,0.457498,,0.000000,,0.215980
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Inferior,1,Global,MCMC,0.003885,,0.154055,2.238652,2.238652,1.000000,0.003885
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Lateral,2,Global,Point Estimate,0.000059,0.005836,0.005836,,0.000000,,0.000059
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Lateral,2,Global,MCMC,0.000389,,0.052168,0.697594,0.697594,1.000000,0.000389
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Septal,3,Global,Point Estimate,0.017045,0.128175,0.128175,,0.000000,,0.017045
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Septal,3,Global,MCMC,0.056493,,0.153478,1.532458,1.532458,1.000000,0.056493
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Apical,4,Global,Point Estimate,0.000540,0.022620,0.022620,,0.000000,,0.000540
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Apical,4,Global,MCMC,0.000596,,0.045937,0.605879,0.605879,1.000000,0.000596
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Anterior,0,Global,Point Estimate,0.004830,0.069115,0.069115,,0.000000,,0.004830
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Anterior,0,Global,MCMC,0.001870,,0.071324,0.963331,0.963331,1.000000,0.001870
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Inferior,1,Global,Point Estimate,0.205257,0.444635,0.444635,,0.000000,,0.205257
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Inferior,1,Global,MCMC,0.000664,,0.118585,1.791457,1.791457,1.000000,0.000664
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Lateral,2,Global,Point Estimate,0.000454,0.020244,0.020244,,0.000000,,0.000454
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Lateral,2,Global,MCMC,0.000128,,0.042530,0.608957,0.608957,1.000000,0.000128
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Septal,3,Global,Point Estimate,0.009136,0.094081,0.094081,,0.000000,,0.009136
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Septal,3,Global,MCMC,0.083495,,0.172565,1.537020,1.537020,1.000000,0.083495
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Apical,4,Global,Point Estimate,0.000317,0.014962,0.014962,,0.000000,,0.000317
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Apical,4,Global,MCMC,0.001194,,0.047474,0.621543,0.621543,1.000000,0.001194
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Anterior,0,Global,Point Estimate,0.020047,0.141312,0.141312,,0.000000,,0.020047
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Anterior,0,Global,MCMC,0.002362,,0.068040,0.918183,0.918183,1.000000,0.002362
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Inferior,1,Global,Point Estimate,0.135827,0.361972,0.361972,,0.000000,,0.135827
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Inferior,1,Global,MCMC,0.018178,,0.136937,1.762819,1.762819,1.000000,0.018178
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Lateral,2,Global,Point Estimate,0.000382,0.015082,0.015082,,0.000000,,0.000382
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Lateral,2,Global,MCMC,0.002202,,0.049163,0.619845,0.619845,1.000000,0.002202
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Septal,3,Global,Point Estimate,0.004575,0.064513,0.064513,,0.000000,,0.004575
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Septal,3,Global,MCMC,0.114975,,0.199728,1.427852,1.427852,1.000000,0.114975
