scenario,sample_idx,target_region_idx,inferred_region,inferred_region_idx,region_role,credible_level,covered
HCM,0,-1,Anterior,0,Global,0.500000,1.000000
HCM,0,-1,Anterior,0,Global,0.600000,1.000000
HCM,0,-1,Anterior,0,Global,0.700000,1.000000
HCM,0,-1,Anterior,0,Global,0.800000,1.000000
HCM,0,-1,Anterior,0,Global,0.900000,1.000000
HCM,0,-1,Anterior,0,Global,0.950000,1.000000
HCM,0,-1,Inferior,1,Global,0.500000,1.000000
HCM,0,-1,Inferior,1,Global,0.600000,1.000000
HCM,0,-1,Inferior,1,Global,0.700000,1.000000
HCM,0,-1,Inferior,1,Global,0.800000,1.000000
HCM,0,-1,Inferior,1,Global,0.900000,1.000000
HCM,0,-1,Inferior,1,Global,0.950000,1.000000
HCM,0,-1,Lateral,2,Global,0.500000,1.000000
HCM,0,-1,Lateral,2,Global,0.600000,1.000000
HCM,0,-1,Lateral,2,Global,0.700000,1.000000
HCM,0,-1,Lateral,2,Global,0.800000,1.000000
HCM,0,-1,Lateral,2,Global,0.900000,1.000000
HCM,0,-1,Lateral,2,Global,0.950000,1.000000
HCM,0,-1,Septal,3,Global,0.500000,1.000000
HCM,0,-1,Septal,3,Global,0.600000,1.000000
HCM,0,-1,Septal,3,Global,0.700000,1.000000
HCM,0,-1,Septal,3,Global,0.800000,1.000000
HCM,0,-1,Septal,3,Global,0.900000,1.000000
HCM,0,-1,Septal,3,Global,0.950000,1.000000
HCM,0,-1,Apical,4,Global,0.500000,1.000000
HCM,0,-1,Apical,4,Global,0.600000,1.000000
HCM,0,-1,Apical,4,Global,0.700000,1.000000
HCM,0,-1,Apical,4,Global,0.800000,1.000000
HCM,0,-1,Apical,4,Global,0.900000,1.000000
HCM,0,-1,Apical,4,Global,0.950000,1.000000
HCM,1,-1,Anterior,0,Global,0.500000,1.000000
HCM,1,-1,Anterior,0,Global,0.600000,1.000000
HCM,1,-1,Anterior,0,Global,0.700000,1.000000
HCM,1,-1,Anterior,0,Global,0.800000,1.000000
HCM,1,-1,Anterior,0,Global,0.900000,1.000000
HCM,1,-1,Anterior,0,Global,0.950000,1.000000
HCM,1,-1,Inferior,1,Global,0.500000,1.000000
HCM,1,-1,Inferior,1,Global,0.600000,1.000000
HCM,1,-1,Inferior,1,Global,0.700000,1.000000
HCM,1,-1,Inferior,1,Global,0.800000,1.000000
HCM,1,-1,Inferior,1,Global,0.900000,1.000000
HCM,1,-1,Inferior,1,Global,0.950000,1.000000
HCM,1,-1,Lateral,2,Global,0.500000,1.000000
HCM,1,-1,Lateral,2,Global,0.600000,1.000000
HCM,1,-1,Lateral,2,Global,0.700000,1.000000
HCM,1,-1,Lateral,2,Global,0.800000,1.000000
HCM,1,-1,Lateral,2,Global,0.900000,1.000000
HCM,1,-1,Lateral,2,Global,0.950000,1.000000
HCM,1,-1,Septal,3,Global,0.500000,1.000000
HCM,1,-1,Septal,3,Global,0.600000,1.000000
HCM,1,-1,Septal,3,Global,0.700000,1.000000
HCM,1,-1,Septal,3,Global,0.800000,1.000000
HCM,1,-1,Septal,3,Global,0.900000,1.000000
HCM,1,-1,Septal,3,Global,0.950000,1.000000
HCM,1,-1,Apical,4,Global,0.500000,1.000000
HCM,1,-1,Apical,4,Global,0.600000,1.000000
HCM,1,-1,Apical,4,Global,0.700000,1.000000
HCM,1,-1,Apical,4,Global,0.800000,1.000000
HCM,1,-1,Apical,4,Global,0.900000,1.000000
HCM,1,-1,Apical,4,Global,0.950000,1.000000
HCM,2,-1,Anterior,0,Global,0.500000,1.000000
HCM,2,-1,Anterior,0,Global,0.600000,1.000000
HCM,2,-1,Anterior,0,Global,0.700000,1.000000
HCM,2,-1,Anterior,0,Global,0.800000,1.000000
HCM,2,-1,Anterior,0,Global,0.900000,1.000000
HCM,2,-1,Anterior,0,Global,0.950000,1.000000
HCM,2,-1,Inferior,1,Global,0.500000,1.000000
HCM,2,-1,Inferior,1,Global,0.600000,1.000000
HCM,2,-1,Inferior,1,Global,0.700000,1.000000
HCM,2,-1,Inferior,1,Global,0.800000,1.000000
HCM,2,-1,Inferior,1,Global,0.900000,1.000000
HCM,2,-1,Inferior,1,Global,0.950000,1.000000
HCM,2,-1,Lateral,2,Global,0.500000,1.000000
HCM,2,-1,Lateral,2,Global,0.600000,1.000000
HCM,2,-1,Lateral,2,Global,0.700000,1.000000
HCM,2,-1,Lateral,2,Global,0.800000,1.000000
HCM,2,-1,Lateral,2,Global,0.900000,1.000000
HCM,2,-1,Lateral,2,Global,0.950000,1.000000
HCM,2,-1,Septal,3,Global,0.500000,1.000000
HCM,2,-1,Septal,3,Global,0.600000,1.000000
HCM,2,-1,Septal,3,Global,0.700000,1.000000
HCM,2,-1,Septal,3,Global,0.800000,1.000000
HCM,2,-1,Septal,3,Global,0.900000,1.000000
HCM,2,-1,Septal,3,Global,0.950000,1.000000
HCM,2,-1,Apical,4,Global,0.500000,1.000000
HCM,2,-1,Apical,4,Global,0.600000,1.000000
HCM,2,-1,Apical,4,Global,0.700000,1.000000
HCM,2,-1,Apical,4,Global,0.800000,1.000000
HCM,2,-1,Apical,4,Global,0.900000,1.000000
HCM,2,-1,Apical,4,Global,0.950000,1.000000
HCM,3,-1,Anterior,0,Global,0.500000,1.000000
HCM,3,-1,Anterior,0,Global,0.600000,1.000000
HCM,3,-1,Anterior,0,Global,0.700000,1.000000
HCM,3,-1,Anterior,0,Global,0.800000,1.000000
HCM,3,-1,Anterior,0,Global,0.900000,1.000000
HCM,3,-1,Anterior,0,Global,0.950000,1.000000
HCM,3,-1,Inferior,1,Global,0.500000,1.000000
HCM,3,-1,Inferior,1,Global,0.600000,1.000000
HCM,3,-1,Inferior,1,Global,0.700000,1.000000
HCM,3,-1,Inferior,1,Global,0.800000,1.000000
HCM,3,-1,Inferior,1,Global,0.900000,1.000000
HCM,3,-1,Inferior,1,Global,0.950000,1.000000
HCM,3,-1,Lateral,2,Global,0.500000,1.000000
HCM,3,-1,Lateral,2,Global,0.600000,1.000000
HCM,3,-1,Lateral,2,Global,0.700000,1.000000
HCM,3,-1,Lateral,2,Global,0.800000,1.000000
HCM,3,-1,Lateral,2,Global,0.900000,1.000000
