scenario,metric,region,diagonal,off_diag_mean,row_mean,col_mean
MI_1,CRPS,Anterior,0.070648,0.134095,0.121406,0.061720
MI_1,CRPS,Inferior,0.234210,0.064119,0.098137,0.237590
MI_1,CRPS,Lateral,0.059742,0.094308,0.087395,0.051312
MI_1,CRPS,Septal,0.151912,0.096741,0.107775,0.122530
MI_1,CRPS,Apical,0.051421,0.112451,0.100245,0.041806
MI_2,CRPS,Anterior,0.091140,0.126434,0.119375,0.063627
MI_2,CRPS,Inferior,0.129836,0.051339,0.067038,0.186342
MI_2,CRPS,Lateral,0.074415,0.073134,0.073390,0.046263
MI_2,CRPS,Septal,0.171353,0.073214,0.092842,0.114541
MI_2,CRPS,Apical,0.059314,0.108056,0.098308,0.040180
MI_3,CRPS,Anterior,0.146013,0.117382,0.123108,0.081388
MI_3,CRPS,Inferior,0.145547,0.056668,0.074444,0.152386
MI_3,CRPS,Lateral,0.111874,0.072154,0.080098,0.052640
MI_3,CRPS,Septal,0.208308,0.053196,0.084218,0.117470
MI_3,CRPS,Apical,0.087225,0.089838,0.089316,0.047299
