scenario,scenario_display,sample_idx,method,metric,diseased_val,non_diseased_val,ratio
MI_1,MI Mild (μ=1.5),0,Point Estimate,mse,0.029497,0.024862,1.186452
MI_1,MI Mild (μ=1.5),1,Point Estimate,mse,0.004707,0.042349,0.111159
MI_1,MI Mild (μ=1.5),2,Point Estimate,mse,0.010133,0.130927,0.077393
MI_1,MI Mild (μ=1.5),3,Point Estimate,mse,0.000203,0.040444,0.005008
MI_1,MI Mild (μ=1.5),4,Point Estimate,mse,0.003173,0.004033,0.786722
MI_1,MI Mild (μ=1.5),5,Point Estimate,mse,0.004049,0.000966,4.190954
MI_1,MI Mild (μ=1.5),6,Point Estimate,mse,0.002626,0.001253,2.096502
MI_1,MI Mild (μ=1.5),7,Point Estimate,mse,0.014770,0.028761,0.513558
MI_1,MI Mild (μ=1.5),8,Point Estimate,mse,0.016135,0.115854,0.139273
MI_1,MI Mild (μ=1.5),9,Point Estimate,mse,0.007625,0.117374,0.064964
MI_1,MI Mild (μ=1.5),10,Point Estimate,mse,0.000982,0.004268,0.230196
MI_1,MI Mild (μ=1.5),11,Point Estimate,mse,0.007770,0.019299,0.402630
MI_1,MI Mild (μ=1.5),12,Point Estimate,mse,0.004531,0.023746,0.190804
MI_1,MI Mild (μ=1.5),13,Point Estimate,mse,0.000293,0.000417,0.701484
MI_1,MI Mild (μ=1.5),14,Point Estimate,mse,0.014825,0.030549,0.485301
MI_1,MI Mild (μ=1.5),15,Point Estimate,mse,0.004384,0.007741,0.566431
MI_1,MI Mild (μ=1.5),16,Point Estimate,mse,0.013951,0.055499,0.251369
MI_1,MI Mild (μ=1.5),17,Point Estimate,mse,0.000541,0.027870,0.019404
MI_1,MI Mild (μ=1.5),18,Point Estimate,mse,0.007178,0.002416,2.970283
MI_1,MI Mild (μ=1.5),19,Point Estimate,mse,0.007067,0.010537,0.670692
MI_1,MI Mild (μ=1.5),20,Point Estimate,mse,0.068884,0.012666,5.438450
MI_1,MI Mild (μ=1.5),21,Point Estimate,mse,0.010534,0.016225,0.649251
MI_1,MI Mild (μ=1.5),22,Point Estimate,mse,0.052365,0.014285,3.665672
MI_1,MI Mild (μ=1.5),23,Point Estimate,mse,0.020287,0.015288,1.326991
MI_1,MI Mild (μ=1.5),24,Point Estimate,mse,0.062423,0.015101,4.133573
MI_1,MI Mild (μ=1.5),25,Point Estimate,mse,0.007239,0.003023,2.394505
MI_1,MI Mild (μ=1.5),26,Point Estimate,mse,0.093260,0.002266,41.148508
MI_1,MI Mild (μ=1.5),27,Point Estimate,mse,0.000768,0.008161,0.094139
MI_1,MI Mild (μ=1.5),28,Point Estimate,mse,0.115478,0.003753,30.768618
MI_1,MI Mild (μ=1.5),29,Point Estimate,mse,0.001628,0.001700,0.957518
MI_1,MI Mild (μ=1.5),30,Point Estimate,mse,0.173277,0.010160,17.055547
MI_1,MI Mild (μ=1.5),31,Point Estimate,mse,0.001483,0.002775,0.534250
MI_1,MI Mild (μ=1.5),32,Point Estimate,mse,0.029781,0.001219,24.435976
MI_1,MI Mild (μ=1.5),33,Point Estimate,mse,0.044909,0.015519,2.893755
MI_1,MI Mild (μ=1.5),34,Point Estimate,mse,0.042582,0.000919,46.344154
MI_1,MI Mild (μ=1.5),35,Point Estimate,mse,0.172307,0.005099,33.794629
MI_1,MI Mild (μ=1.5),36,Point Estimate,mse,0.207606,0.005440,38.159628
MI_1,MI Mild (μ=1.5),37,Point Estimate,mse,0.002511,0.003479,0.721731
