scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Anterior,0,Global,MCMC,0.000814,,0.072843,0.984756,0.984756,1.000000,0.000814
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Inferior,1,Global,MCMC,0.010653,,0.111257,1.498845,1.498845,1.000000,0.010653
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Lateral,2,Global,MCMC,0.000045,,0.045183,0.642030,0.642030,1.000000,0.000045
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Septal,3,Global,MCMC,0.047774,,0.147525,1.355235,1.355235,1.000000,0.047774
HCM,"HCM (Global, μ=1.7)",0,Global,-1,Apical,4,Global,MCMC,0.000013,,0.042034,0.589208,0.589208,1.000000,0.000013
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Anterior,0,Global,MCMC,0.000756,,0.086480,1.119640,1.119640,1.000000,0.000756
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Inferior,1,Global,MCMC,0.007588,,0.144300,2.085077,2.085077,1.000000,0.007588
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Lateral,2,Global,MCMC,0.000406,,0.070184,0.953228,0.953228,1.000000,0.000406
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Septal,3,Global,MCMC,0.027367,,0.134249,1.442779,1.442779,1.000000,0.027367
HCM,"HCM (Global, μ=1.7)",1,Global,-1,Apical,4,Global,MCMC,0.000177,,0.045322,0.673544,0.673544,1.000000,0.000177
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Anterior,0,Global,MCMC,0.002493,,0.083290,1.088864,1.088864,1.000000,0.002493
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Inferior,1,Global,MCMC,0.000447,,0.103076,1.495555,1.495555,1.000000,0.000447
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Lateral,2,Global,MCMC,0.005467,,0.066939,0.828188,0.828188,1.000000,0.005467
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Septal,3,Global,MCMC,0.045760,,0.137043,1.394452,1.394452,1.000000,0.045760
HCM,"HCM (Global, μ=1.7)",2,Global,-1,Apical,4,Global,MCMC,0.001030,,0.048618,0.648462,0.648462,1.000000,0.001030
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Anterior,0,Global,MCMC,0.000799,,0.071250,0.935956,0.935956,1.000000,0.000799
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Inferior,1,Global,MCMC,0.003885,,0.154055,2.238652,2.238652,1.000000,0.003885
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Lateral,2,Global,MCMC,0.000389,,0.052168,0.697594,0.697594,1.000000,0.000389
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Septal,3,Global,MCMC,0.056493,,0.153478,1.532458,1.532458,1.000000,0.056493
HCM,"HCM (Global, μ=1.7)",3,Global,-1,Apical,4,Global,MCMC,0.000596,,0.045937,0.605879,0.605879,1.000000,0.000596
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Anterior,0,Global,MCMC,0.001870,,0.071324,0.963331,0.963331,1.000000,0.001870
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Inferior,1,Global,MCMC,0.000664,,0.118585,1.791457,1.791457,1.000000,0.000664
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Lateral,2,Global,MCMC,0.000128,,0.042530,0.608957,0.608957,1.000000,0.000128
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Septal,3,Global,MCMC,0.083495,,0.172565,1.537020,1.537020,1.000000,0.083495
HCM,"HCM (Global, μ=1.7)",4,Global,-1,Apical,4,Global,MCMC,0.001194,,0.047474,0.621543,0.621543,1.000000,0.001194
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Anterior,0,Global,MCMC,0.002362,,0.068040,0.918183,0.918183,1.000000,0.002362
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Inferior,1,Global,MCMC,0.018178,,0.136937,1.762819,1.762819,1.000000,0.018178
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Lateral,2,Global,MCMC,0.002202,,0.049163,0.619845,0.619845,1.000000,0.002202
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Septal,3,Global,MCMC,0.114975,,0.199728,1.427852,1.427852,1.000000,0.114975
HCM,"HCM (Global, μ=1.7)",5,Global,-1,Apical,4,Global,MCMC,0.001156,,0.055157,0.717428,0.717428,1.000000,0.001156
HCM,"HCM (Global, μ=1.7)",6,Global,-1,Anterior,0,Global,MCMC,0.000316,,0.067737,0.879798,0.879798,1.000000,0.000316
HCM,"HCM (Global, μ=1.7)",6,Global,-1,Inferior,1,Global,MCMC,0.004043,,0.117967,1.691796,1.691796,1.000000,0.004043
HCM,"HCM (Global, μ=1.7)",6,Global,-1,Lateral,2,Global,MCMC,0.000287,,0.062848,0.830071,0.830071,1.000000,0.000287
HCM,"HCM (Global, μ=1.7)",6,Global,-1,Septal,3,Global,MCMC,0.033486,,0.146153,1.594860,1.594860,1.000000,0.033486
HCM,"HCM (Global, μ=1.7)",6,Global,-1,Apical,4,Global,MCMC,0.000722,,0.052365,0.752084,0.752084,1.000000,0.000722
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Anterior,0,Global,MCMC,0.000169,,0.084789,1.111700,1.111700,1.000000,0.000169
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Inferior,1,Global,MCMC,0.045762,,0.161213,1.824417,1.824417,1.000000,0.045762
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Lateral,2,Global,MCMC,0.002210,,0.058362,0.760459,0.760459,1.000000,0.002210
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Septal,3,Global,MCMC,0.003961,,0.140700,1.872274,1.872274,1.000000,0.003961
HCM,"HCM (Global, μ=1.7)",7,Global,-1,Apical,4,Global,MCMC,0.000252,,0.043939,0.590371,0.590371,1.000000,0.000252
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Anterior,0,Global,MCMC,0.002847,,0.082212,1.023582,1.023582,1.000000,0.002847
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Inferior,1,Global,MCMC,0.038187,,0.145112,1.657981,1.657981,1.000000,0.038187
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Lateral,2,Global,MCMC,0.001761,,0.067985,0.876699,0.876699,1.000000,0.001761
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Septal,3,Global,MCMC,0.001271,,0.143288,1.934825,1.934825,1.000000,0.001271
HCM,"HCM (Global, μ=1.7)",8,Global,-1,Apical,4,Global,MCMC,0.000002,,0.049031,0.690471,0.690471,1.000000,0.000002
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Anterior,0,Global,MCMC,0.000205,,0.085245,1.170421,1.170421,1.000000,0.000205
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Inferior,1,Global,MCMC,0.014866,,0.142901,1.842613,1.842613,1.000000,0.014866
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Lateral,2,Global,MCMC,0.000102,,0.059310,0.866014,0.866014,1.000000,0.000102
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Septal,3,Global,MCMC,0.015530,,0.122680,1.563376,1.563376,1.000000,0.015530
HCM,"HCM (Global, μ=1.7)",9,Global,-1,Apical,4,Global,MCMC,0.000403,,0.048306,0.654694,0.654694,1.000000,0.000403
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Anterior,0,Global,MCMC,0.005919,,0.105019,1.298178,1.298178,1.000000,0.005919
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Inferior,1,Global,MCMC,0.002582,,0.110525,1.494698,1.494698,1.000000,0.002582
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Lateral,2,Global,MCMC,0.000201,,0.054731,0.752779,0.752779,1.000000,0.000201
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Septal,3,Global,MCMC,0.021903,,0.139852,1.655416,1.655416,1.000000,0.021903
HCM,"HCM (Global, μ=1.7)",10,Global,-1,Apical,4,Global,MCMC,0.000095,,0.047156,0.641704,0.641704,1.000000,0.000095
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Anterior,0,Global,MCMC,0.007583,,0.077820,0.990018,0.990018,1.000000,0.007583
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Inferior,1,Global,MCMC,0.030109,,0.128989,1.480966,1.480966,1.000000,0.030109
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Lateral,2,Global,MCMC,0.000335,,0.043711,0.599312,0.599312,1.000000,0.000335
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Septal,3,Global,MCMC,0.078695,,0.166140,1.181024,1.181024,1.000000,0.078695
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Apical,4,Global,MCMC,0.001001,,0.037638,0.465047,0.465047,1.000000,0.001001
