scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
MI_3,MI Severe (μ=3.0),0,Anterior,0,Anterior,0,Diseased,MCMC,0.014030,,0.139199,1.912082,1.912082,1.000000,0.014030
MI_3,MI Severe (μ=3.0),0,Anterior,0,Inferior,1,Non-diseased,MCMC,0.279522,,0.335167,1.030966,1.030966,1.000000,0.279522
MI_3,MI Severe (μ=3.0),0,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000205,,0.031288,0.434280,0.434280,1.000000,0.000205
MI_3,MI Severe (μ=3.0),0,Anterior,0,Septal,3,Non-diseased,MCMC,0.010447,,0.084173,0.964609,0.964609,1.000000,0.010447
MI_3,MI Severe (μ=3.0),0,Anterior,0,Apical,4,Non-diseased,MCMC,0.012132,,0.070686,0.314845,0.314845,1.000000,0.012132
MI_3,MI Severe (μ=3.0),1,Anterior,0,Anterior,0,Diseased,MCMC,0.006478,,0.132238,1.838774,1.838774,1.000000,0.006478
MI_3,MI Severe (μ=3.0),1,Anterior,0,Inferior,1,Non-diseased,MCMC,0.171822,,0.258826,0.940788,0.940788,1.000000,0.171822
MI_3,MI Severe (μ=3.0),1,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000438,,0.036222,0.487684,0.487684,1.000000,0.000438
MI_3,MI Severe (μ=3.0),1,Anterior,0,Septal,3,Non-diseased,MCMC,0.006815,,0.085477,1.100449,1.100449,1.000000,0.006815
MI_3,MI Severe (μ=3.0),1,Anterior,0,Apical,4,Non-diseased,MCMC,0.002045,,0.032696,0.378636,0.378636,1.000000,0.002045
MI_3,MI Severe (μ=3.0),2,Anterior,0,Anterior,0,Diseased,MCMC,0.007866,,0.150395,1.983682,1.983682,1.000000,0.007866
MI_3,MI Severe (μ=3.0),2,Anterior,0,Inferior,1,Non-diseased,MCMC,0.189412,,0.255671,1.101494,1.101494,1.000000,0.189412
MI_3,MI Severe (μ=3.0),2,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000526,,0.039426,0.552923,0.552923,1.000000,0.000526
MI_3,MI Severe (μ=3.0),2,Anterior,0,Septal,3,Non-diseased,MCMC,0.002187,,0.067285,0.933328,0.933328,1.000000,0.002187
MI_3,MI Severe (μ=3.0),2,Anterior,0,Apical,4,Non-diseased,MCMC,0.003033,,0.038004,0.412960,0.412960,1.000000,0.003033
MI_3,MI Severe (μ=3.0),3,Anterior,0,Anterior,0,Diseased,MCMC,0.064357,,0.203588,2.181323,2.181323,1.000000,0.064357
