scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
MI_2,MI Moderate (μ=2.0),0,Anterior,0,Anterior,0,Diseased,Point Estimate,0.000961,0.024980,0.024980,,0.000000,,0.000961
MI_2,MI Moderate (μ=2.0),0,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.011526,0.106013,0.106013,,0.000000,,0.011526
MI_2,MI Moderate (μ=2.0),0,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.000129,0.009943,0.009943,,0.000000,,0.000129
MI_2,MI Moderate (μ=2.0),0,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.000068,0.007407,0.007407,,0.000000,,0.000068
MI_2,MI Moderate (μ=2.0),0,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.000269,0.016397,0.016397,,0.000000,,0.000269
MI_2,MI Moderate (μ=2.0),1,Anterior,0,Anterior,0,Diseased,Point Estimate,0.029377,0.162591,0.162591,,0.000000,,0.029377
MI_2,MI Moderate (μ=2.0),1,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.066037,0.255783,0.255783,,0.000000,,0.066037
MI_2,MI Moderate (μ=2.0),1,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.001194,0.034511,0.034511,,0.000000,,0.001194
MI_2,MI Moderate (μ=2.0),1,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.004485,0.066722,0.066722,,0.000000,,0.004485
MI_2,MI Moderate (μ=2.0),1,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.005539,0.074427,0.074427,,0.000000,,0.005539
MI_2,MI Moderate (μ=2.0),2,Anterior,0,Anterior,0,Diseased,Point Estimate,0.004476,0.066647,0.066647,,0.000000,,0.004476
MI_2,MI Moderate (μ=2.0),2,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.002806,0.046814,0.046814,,0.000000,,0.002806
MI_2,MI Moderate (μ=2.0),2,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.000398,0.019435,0.019435,,0.000000,,0.000398
MI_2,MI Moderate (μ=2.0),2,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.004422,0.065321,0.065321,,0.000000,,0.004422
MI_2,MI Moderate (μ=2.0),2,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.000502,0.022397,0.022397,,0.000000,,0.000502
MI_2,MI Moderate (μ=2.0),3,Anterior,0,Anterior,0,Diseased,Point Estimate,0.023601,0.153625,0.153625,,0.000000,,0.023601
MI_2,MI Moderate (μ=2.0),3,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.102750,0.319791,0.319791,,0.000000,,0.102750
MI_2,MI Moderate (μ=2.0),3,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.003365,0.057977,0.057977,,0.000000,,0.003365
MI_2,MI Moderate (μ=2.0),3,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.000264,0.013886,0.013886,,0.000000,,0.000264
MI_2,MI Moderate (μ=2.0),3,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.002808,0.052877,0.052877,,0.000000,,0.002808
MI_2,MI Moderate (μ=2.0),4,Anterior,0,Anterior,0,Diseased,Point Estimate,0.002723,0.043864,0.043864,,0.000000,,0.002723
MI_2,MI Moderate (μ=2.0),4,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.046501,0.215591,0.215591,,0.000000,,0.046501
MI_2,MI Moderate (μ=2.0),4,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.007994,0.089325,0.089325,,0.000000,,0.007994
MI_2,MI Moderate (μ=2.0),4,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.003211,0.052952,0.052952,,0.000000,,0.003211
MI_2,MI Moderate (μ=2.0),4,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.000958,0.030932,0.030932,,0.000000,,0.000958
MI_2,MI Moderate (μ=2.0),5,Anterior,0,Anterior,0,Diseased,Point Estimate,0.006494,0.080550,0.080550,,0.000000,,0.006494
MI_2,MI Moderate (μ=2.0),5,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.153817,0.391827,0.391827,,0.000000,,0.153817
MI_2,MI Moderate (μ=2.0),5,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.009694,0.098166,0.098166,,0.000000,,0.009694
MI_2,MI Moderate (μ=2.0),5,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.000239,0.013787,0.013787,,0.000000,,0.000239
MI_2,MI Moderate (μ=2.0),5,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.002546,0.050444,0.050444,,0.000000,,0.002546
MI_2,MI Moderate (μ=2.0),6,Anterior,0,Anterior,0,Diseased,Point Estimate,0.000403,0.019068,0.019068,,0.000000,,0.000403
MI_2,MI Moderate (μ=2.0),6,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.150722,0.387721,0.387721,,0.000000,,0.150722
MI_2,MI Moderate (μ=2.0),6,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.013776,0.117087,0.117087,,0.000000,,0.013776
MI_2,MI Moderate (μ=2.0),6,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.003385,0.055406,0.055406,,0.000000,,0.003385
MI_2,MI Moderate (μ=2.0),6,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.000765,0.027577,0.027577,,0.000000,,0.000765
MI_2,MI Moderate (μ=2.0),7,Anterior,0,Anterior,0,Diseased,Point Estimate,0.000727,0.022051,0.022051,,0.000000,,0.000727
MI_2,MI Moderate (μ=2.0),7,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.009261,0.094037,0.094037,,0.000000,,0.009261
MI_2,MI Moderate (μ=2.0),7,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.000579,0.024018,0.024018,,0.000000,,0.000579
MI_2,MI Moderate (μ=2.0),7,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.001925,0.043864,0.043864,,0.000000,,0.001925
MI_2,MI Moderate (μ=2.0),7,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.001390,0.037213,0.037213,,0.000000,,0.001390
MI_2,MI Moderate (μ=2.0),8,Anterior,0,Anterior,0,Diseased,Point Estimate,0.015333,0.123494,0.123494,,0.000000,,0.015333
MI_2,MI Moderate (μ=2.0),8,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.089444,0.298456,0.298456,,0.000000,,0.089444
MI_2,MI Moderate (μ=2.0),8,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.002448,0.049269,0.049269,,0.000000,,0.002448
MI_2,MI Moderate (μ=2.0),8,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.006321,0.079266,0.079266,,0.000000,,0.006321
MI_2,MI Moderate (μ=2.0),8,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.004771,0.069009,0.069009,,0.000000,,0.004771
MI_2,MI Moderate (μ=2.0),9,Anterior,0,Anterior,0,Diseased,Point Estimate,0.003834,0.048906,0.048906,,0.000000,,0.003834
MI_2,MI Moderate (μ=2.0),9,Anterior,0,Inferior,1,Non-diseased,Point Estimate,0.004408,0.059078,0.059078,,0.000000,,0.004408
MI_2,MI Moderate (μ=2.0),9,Anterior,0,Lateral,2,Non-diseased,Point Estimate,0.000045,0.006522,0.006522,,0.000000,,0.000045
MI_2,MI Moderate (μ=2.0),9,Anterior,0,Septal,3,Non-diseased,Point Estimate,0.004854,0.068154,0.068154,,0.000000,,0.004854
MI_2,MI Moderate (μ=2.0),9,Anterior,0,Apical,4,Non-diseased,Point Estimate,0.003023,0.054916,0.054916,,0.000000,,0.003023
