scenario,region,median_diff_PE_minus_MCMC,W_stat,p_value,sig
HCM,Anterior,-0.032076,793.000000,0.000000,***
HCM,Inferior,0.275673,0.000000,0.000000,***
HCM,Lateral,-0.024436,588.000000,0.000000,***
HCM,Septal,-0.031941,1234.000000,0.000009,***
HCM,Apical,-0.022303,407.000000,0.000000,***
MI_1,Anterior,-0.002441,2177.000000,0.231487,ns
MI_1,Inferior,-0.030863,1611.000000,0.001674,**
MI_1,Lateral,0.006512,1554.000000,0.000842,***
MI_1,Septal,-0.039282,1744.000000,0.007246,**
MI_1,Apical,-0.013174,1198.000000,0.000005,***
MI_2,Anterior,0.007314,1979.000000,0.060474,ns
MI_2,Inferior,-0.008321,2431.000000,0.746542,ns
MI_2,Lateral,-0.002518,2354.000000,0.556563,ns
MI_2,Septal,-0.028165,1890.000000,0.029011,*
MI_2,Apical,-0.002896,2290.000000,0.419087,ns
MI_3,Anterior,0.016389,1622.000000,0.001904,**
MI_3,Inferior,-0.018635,2434.000000,0.754366,ns
MI_3,Lateral,0.022424,1433.000000,0.000174,***
MI_3,Septal,-0.019310,2234.000000,0.317043,ns
MI_3,Apical,0.019294,1512.000000,0.000496,***
