Iteration,test_preds,estimated_params
1,"[-0.922971725, 4.21837711, -0.290364742, 1.58663082, 1.06168664, 1.33705103, -0.252696812, 0.0387150422, -0.374908328, 0.107890986, 2.7988106e-05, 0.189273939, -0.0877587795, -0.24130708, 0.172614425, -0.148268908, -0.0774461702, -0.0330070928, 0.0670941174, 0.043553289, 0.0219249651]","[3.7579193, 4.7432613, 1.4834992, 4.7156167, 2.8161066, 0.6617858, 3.0773704, 3.3087714, 4.8190756, 1.7807076]"
2,"[0.11512608, -0.5250124, -2.6056836, -3.9255884, -1.6553829, -0.07248377, 0.4249199, 0.24710068, 0.16969544, 0.08610175, 0.08817607, -0.33769596, -0.02370134, 0.16343495, 0.02083609, 0.14618939, -0.16587582, -0.03130031, 0.02818569, -0.02506599, -0.0652496]","[1.4115942, 1.3593813, 3.3346434, 1.3750899, 2.0631642, 2.4346585, 1.3909374, 0.70151615, 1.9555888, 4.610637]"
3,"[0.10812901, -2.7042556, 4.930136, 0.7587529, 1.0157987, -0.4797256, 0.5323181, -0.18680078, -0.20172682, -0.0262171, -0.05961409, -0.07940207, 0.19219491, 0.04293805, -0.1084831, -0.01042116, -0.19321343, -0.009693, 0.05803479, 0.05651389, -0.04030863]","[1.8577467, 3.7486548, 1.7035569, 2.1195898, 3.2848544, 3.6707087, 3.876468, 1.33854, 0.4391765, 2.1706984]"
4,"[-0.36815405, 1.996021, -2.6603389, -0.71309745, -0.59536123, 2.2866316, 0.06410986, 0.16805035, 0.03718213, 0.18108878, -0.08932091, 0.16955735, -0.16035774, -0.14360967, 0.21799132, -0.05168204, 0.02159878, -0.03603864, -0.04474596, -0.0193002, -0.10712156]","[3.2312112, 2.4813626, 3.715424, 3.392081, 1.8190587, 1.0606009, 0.6200518, 4.065568, 3.666351, 3.7008283]"
5,"[-0.08056822, 1.8153074, -4.8283315, 2.9893148, 5.514091, -2.3880107, -0.23394015, -0.14783716, -0.13660142, 0.15408573, 0.15197834, 0.09905227, 0.0295659, 0.07510912, 0.3090491, 0.12973341, 0.20248118, 0.13483864, -0.0486296, 0.10650964, -0.08732063]","[4.142134, 4.012578, 0.58168185, 0.6938769, 0.9664051, 1.6511316, 2.6193194, 4.05677, 4.4784646, 3.4334939]"
6,"[1.2650406, -6.3424602, 5.0581083, -2.8116586, -5.3279071, -0.99014729, -0.77262998, 0.55101168, 0.87269759, 0.055371437, 0.15253964, -0.06810908, 0.17439602, -0.0044028237, -0.14973262, 0.19999519, 0.11007214, 0.010526203, 0.045919552, 0.17126088, -0.098008521]","[1.014154, 0.3832686, 4.7705426, 4.891503, 4.2944126, 4.0795264, 1.8877844, 0.9487043, 1.5888013, 0.23219301]"
7,"[-1.267566, 5.782796, 1.7210155, -1.0726435, -1.6525184, -0.05702684, -0.06299564, -0.10814955, -0.1568565, 0.01978819, -0.01306179, 0.3145346, 0.1755171, 0.19655332, 0.05305842, 0.15943235, -0.04312357, -0.12144193, -0.03812496, 0.02964188, 0.01994827]","[0.59408075, 4.5171995, 2.926658, 4.5983176, 4.8418565, 3.0503979, 3.2883997, 2.7447975, 4.354244, 4.596851]"
8,"[0.2840496, -3.062399, 5.7740207, 3.0411568, -0.5823033, 1.3239422, -0.3014174, -0.08369424, -0.15225226, -0.11039802, -0.09301388, -0.12617509, 0.09915933, -0.10209138, 0.09909878, 0.15373056, 0.03692418, 0.02952915, 0.10714602, 0.06911933, 0.05259218]","[2.7890139, 2.9061465, 4.4709597, 2.6224453, 2.3569775, 2.3758488, 4.4283338, 2.553335, 0.9040732, 0.89630145]"
9,"[-0.5192758, 1.6410615, 0.5226874, -1.4950676, 1.2275853, -1.4795094, 0.07949239, -0.02741336, 0.3005446, -0.08473708, -0.15361536, 0.14307657, -0.04741226, 0.11265392, -0.10554358, -0.13955411, -0.04296868, -0.0083554, -0.11142327, -0.07313317, -0.01499976]","[2.4463048, 1.6550187, 1.1179984, 1.8182997, 2.6840854, 4.4849925, 1.027768, 4.828867, 2.653053, 2.5676572]"
10,"[0.5333371, -0.3673469, -4.8158846, 4.2808332, -1.3303666, 3.3973796, -0.13329354, 0.3224866, 0.00924204, 0.13450354, -0.10203525, 0.46664166, -0.1713484, -0.53580135, -0.0083152, 0.10951531, -0.25423607, -0.00632636, -0.04767098, -0.1745754, 0.05902825]","[2.369336, 3.2611148, 3.6630044, 4.991, 1.0870947, 0.36781642, 2.0013263, 2.4923298, 3.6760247, 1.1656733]"
