Iteration,test_preds,estimated_params
1,"[-0.9049849, 4.1690702, -0.34655988, 1.6382434, 1.0715345, 1.424148, -0.26208353, 0.059880972, -0.3531215, 0.0871643, -0.0011748001, 0.18505108, -0.07186432, -0.24780361, 0.16066878, -0.1538803, -0.07872731, -0.040923968, 0.0733788, 0.062195785, 0.027988896]","[3.6960037, 4.6541853, 1.5781703, 4.3203716, 2.8305662, 0.6904789, 2.884394, 3.8713763, 4.6762004, 1.9507371]"
2,"[0.16209316, -0.6345768, -2.6761813, -3.8995104, -1.6764449, -0.043337107, 0.39602736, 0.21884862, 0.11676507, 0.0818221, 0.10932255, -0.36716536, -0.009080805, 0.12727185, -0.010162465, 0.13758685, -0.14192164, -0.035306007, -0.020327419, -0.032738164, -0.072808355]","[1.5063382, 1.2277732, 3.3412497, 1.3670436, 2.0379217, 2.5453162, 1.3003268, 0.8359906, 1.944416, 4.7089815]"
3,"[0.11779606, -2.7860782, 4.961243, 0.7108481, 1.012221, -0.59562373, 0.57156616, -0.23014931, -0.20790762, -0.015301406, -0.05537659, -0.08712904, 0.22455208, 0.039070904, -0.102708474, 0.008920679, -0.20858055, -0.000491187, 0.04869026, 0.064597726, -0.046868026]","[2.0099492, 3.610451, 1.8905351, 1.8906249, 3.5087614, 3.1377816, 3.686799, 1.5385519, 0.46906212, 2.1085541]"
4,"[-0.34438306, 1.9599686, -2.847431, -0.73832554, -0.64526576, 2.487327, 0.062622845, 0.16416728, 0.035192028, 0.19450414, -0.105327636, 0.20249838, -0.1584183, -0.13695106, 0.21161784, -0.059149694, 0.022701938, -0.020282269, -0.02926904, -0.019173399, -0.11078567]","[3.0970442, 2.4826994, 3.4664018, 3.4230611, 1.8293192, 1.1572977, 0.77923846, 3.613201, 3.5239024, 3.8342662]"
5,"[-0.023447514, 1.7234583, -5.319611, 3.096043, 5.996374, -2.5592623, -0.20795321, -0.099363565, -0.14116329, 0.18802246, 0.15457515, 0.12143588, 0.07548624, 0.16222905, 0.32383215, 0.15780419, 0.263187, 0.17386624, -0.07190986, 0.19354609, -0.079999894]","[3.709776, 3.9189649, 0.5090538, 0.9678056, 1.0363394, 1.7045617, 3.0688722, 3.2403708, 4.112669, 3.5478146]"
6,"[1.2914155, -6.332901, 5.241135, -3.2436857, -5.206194, -0.5253546, -0.7838409, 0.5230132, 0.74556875, -0.00044699013, 0.38013166, 0.028707922, 0.09650007, 0.10122818, -0.16951025, 0.25326225, 0.0725375, 0.12352663, -0.03814055, 0.19322695, -0.10065125]","[1.0292675, 0.29711905, 3.7766516, 4.8911557, 4.0904717, 3.9514523, 1.9449658, 1.0285344, 1.6184051, 0.19217393]"
7,"[-1.2576004, 5.80534, 1.6865406, -1.1479555, -1.889987, -0.21882749, -0.07697624, -0.13975546, -0.16103032, 0.029021278, -0.0045363214, 0.3228727, 0.17568618, 0.19671555, 0.060296014, 0.13917804, -0.03439048, -0.12399225, -0.039892986, 0.04674357, 0.025776614]","[0.8031378, 4.112655, 3.383175, 3.5179818, 4.552456, 3.2241042, 3.0930278, 2.9308484, 4.3937855, 4.299606]"
8,"[0.28734824, -2.968581, 5.859018, 3.1553154, -0.59095097, 1.4526193, -0.30736363, -0.06386988, -0.15463272, -0.12239092, -0.08519268, -0.096343964, 0.09734309, -0.06495112, 0.127794, 0.17183307, 0.030049488, 0.025768787, 0.11330554, 0.056020036, 0.056592204]","[2.6555293, 2.935866, 4.0386963, 2.9356759, 2.36313, 2.4444213, 4.21425, 2.7006428, 0.90542305, 0.9041812]"
9,"[-0.49597216, 1.5411668, 0.5126486, -1.6235188, 1.2838845, -1.4743483, 0.07989827, -0.03178522, 0.32277593, -0.08547571, -0.15376958, 0.14768055, -0.04970105, 0.10131401, -0.08891974, -0.14299624, -0.034566477, -0.022813924, -0.11302987, -0.091146536, -0.010176953]","[2.3340888, 1.7746465, 1.0478985, 2.0299096, 2.8748443, 4.023636, 1.1705606, 4.5498066, 2.6626284, 2.5411973]"
10,"[0.5550015, -0.45019722, -4.5907984, 4.33097, -1.4549345, 3.4953864, -0.25249413, 0.25959212, 0.08776677, 0.13513441, -0.10597617, 0.483549, -0.1432451, -0.52654135, -0.05166106, 0.11229888, -0.23197445, 0.048784137, -0.10741635, -0.14154439, 0.015324384]","[2.2619834, 3.3980308, 3.4362776, 4.7529044, 1.155666, 0.30623332, 2.0766337, 2.343673, 3.3571088, 1.6929568]"
