Volume,cir-Basal-InfSept,cir-Basal-AntSept,cir-Basal-Ant,cir-Basal-AntLat,cir-Basal-InfLat,cir-Basal-Inf,cir-Mid-InfSept,cir-Mid-AntSept,cir-Mid-Ant,cir-Mid-AntLat,cir-Mid-InfLat,cir-Mid-Inf,cir-Apical-Septal,cir-Apical-Anterior,cir-Apical-Lateral,cir-Apical-Inferior,rad-Basal-InfSept,rad-Basal-AntSept,rad-Basal-Ant,rad-Basal-AntLat,rad-Basal-InfLat,rad-Basal-Inf,rad-Mid-InfSept,rad-Mid-AntSept,rad-Mid-Ant,rad-Mid-AntLat,rad-Mid-InfLat,rad-Mid-Inf,rad-Apical-Septal,rad-Apical-Anterior,rad-Apical-Lateral,rad-Apical-Inferior
180.9779,-0.010753346,-0.029513982,-0.012718924,0.011269392,-0.003378686,-0.006569397,0.001433538,-0.01352831,-0.002614158,-0.008387476,0.003598769,0.002726807,0.005471549,0.001568133,0.007833697,0.00152291,0.004490724,0.041791616,0.073689805,-0.014774919,0.008929276,0.02325953,0.026427196,0.027594352,0.027685227,0.037766396,0.033254558,0.01434617,0.036134324,0.036365235,0.053817297,0.009272546
180.9779,-0.033348315,-0.07595089,-0.027664667,0.005245483,-0.016654961,-0.016821181,-0.005592597,-0.043548879,-0.014185908,-0.020714565,0.001191198,-0.006982656,-0.000582716,0.00223342,0.005213123,-0.005047331,0.023439043,0.099272916,0.17287031,-0.032995373,-0.003718636,0.074482861,0.074855493,0.069767701,0.078975903,0.069477929,0.073451233,0.04758018,0.095491092,0.078351761,0.106771396,0.043333621
180.9779,-0.054542887,-0.10625283,-0.048778699,-0.029776084,-0.046160028,-0.036117496,-0.025943679,-0.078182184,-0.025221763,-0.043130612,-0.027539923,-0.02407638,-0.019821432,-0.010111547,-0.009601909,-0.019370457,0.036514105,0.151670295,0.279424223,-0.014093332,0.015192352,0.130886706,0.120090135,0.092063047,0.151074968,0.119132189,0.128260611,0.09108229,0.136101916,0.141400109,0.203299064,0.086610815
180.9779,-0.07390131,-0.123493963,-0.077454,-0.074693761,-0.081133498,-0.047189406,-0.056806784,-0.1057932,-0.053534387,-0.063106133,-0.060824112,-0.036817337,-0.049609161,-0.035762467,-0.034274692,-0.037763719,0.050306838,0.199642199,0.387798862,0.031147415,0.063714119,0.18223324,0.178598115,0.141459358,0.223782974,0.171415527,0.173966345,0.137557868,0.183612342,0.216870201,0.29845797,0.144926416
180.9779,-0.092986642,-0.132521303,-0.105184315,-0.119509314,-0.111830689,-0.051216945,-0.092624872,-0.128746577,-0.087233458,-0.08093168,-0.093497357,-0.047252139,-0.083993391,-0.064894335,-0.059599744,-0.056466288,0.048679296,0.262408904,0.542878842,0.111632885,0.131279803,0.238011895,0.241368622,0.195451708,0.303805137,0.21982687,0.238725815,0.197294094,0.224917185,0.284078738,0.395016894,0.202637295
180.9779,-0.107164307,-0.13689784,-0.127866262,-0.151507351,-0.144490425,-0.052293568,-0.122602234,-0.146378101,-0.115658136,-0.096688025,-0.127758945,-0.05626123,-0.112909356,-0.084511344,-0.078221198,-0.07877019,0.017639588,0.311479227,0.704312137,0.225370141,0.199235414,0.279212345,0.313824473,0.237357577,0.401098207,0.288226779,0.309410119,0.265406038,0.285519985,0.368782259,0.482137562,0.281719435
180.9779,-0.112629846,-0.13926123,-0.144809342,-0.178098066,-0.170500049,-0.053574511,-0.144579152,-0.162741392,-0.129299162,-0.113652416,-0.150859151,-0.062594467,-0.135827402,-0.098770122,-0.089681206,-0.09501853,0.003274635,0.346782129,0.832189451,0.347095302,0.245555037,0.309689548,0.391543858,0.270273164,0.48758284,0.342914347,0.378470402,0.333930851,0.34177934,0.466548289,0.57133347,0.357395719
180.9779,-0.111800745,-0.143663633,-0.15691145,-0.193932976,-0.189321737,-0.055143489,-0.165048695,-0.177664158,-0.136336189,-0.129520259,-0.16938211,-0.064953096,-0.152525835,-0.102146912,-0.09895518,-0.104953801,-0.02004435,0.364226065,0.93272789,0.458291668,0.30103786,0.329600404,0.461011525,0.310986123,0.565404029,0.397104637,0.457646888,0.391996581,0.404191771,0.564143638,0.646965706,0.429431479
180.9779,-0.10783135,-0.148368689,-0.162267312,-0.20589,-0.203740476,-0.05744437,-0.176835047,-0.187211118,-0.136799771,-0.142853718,-0.181036231,-0.061473368,-0.163828185,-0.099468587,-0.108287618,-0.110972727,-0.032864085,0.385307609,1.044222508,0.525906614,0.343942571,0.332443046,0.512605563,0.332619399,0.629314342,0.434957349,0.50655771,0.424051143,0.463198902,0.652491661,0.716102113,0.490286929
180.9779,-0.101919656,-0.152710173,-0.162711321,-0.213293253,-0.214610934,-0.061720864,-0.172286928,-0.178635239,-0.131814877,-0.147613923,-0.184221055,-0.049215762,-0.162076444,-0.095052553,-0.110082069,-0.108838641,-0.040576001,0.400576878,1.134085192,0.562559224,0.373352613,0.323011634,0.518914042,0.316510831,0.617438085,0.445779195,0.505219629,0.389324244,0.489707053,0.707373633,0.755794553,0.504030081
180.9779,-0.104878309,-0.154998809,-0.161769841,-0.221437837,-0.221556224,-0.06730561,-0.162116332,-0.161732381,-0.127424996,-0.144813829,-0.175666807,-0.038155607,-0.147847382,-0.086549892,-0.103334249,-0.096644814,-0.022985682,0.442289136,1.200763843,0.618670783,0.444168304,0.345695002,0.46798002,0.27719349,0.579058526,0.415829014,0.446658645,0.318462576,0.436945159,0.674607281,0.718650073,0.431820848
180.9779,-0.116937691,-0.160892804,-0.159702995,-0.2263447,-0.225326165,-0.082746395,-0.163974187,-0.153297891,-0.130256006,-0.134423616,-0.161744922,-0.049212325,-0.13154892,-0.075603349,-0.091783394,-0.087332965,-0.000986112,0.501688973,1.267025443,0.736997688,0.566989477,0.390658116,0.419916145,0.245514667,0.530259886,0.370833744,0.414281437,0.299787956,0.355571483,0.593751971,0.618609819,0.346195255
180.9779,-0.126130285,-0.166491197,-0.156383477,-0.224613679,-0.22502673,-0.106276723,-0.16924642,-0.14503262,-0.126258565,-0.114969868,-0.140625603,-0.071274886,-0.131828249,-0.070035638,-0.074925777,-0.091995654,0.022559772,0.551311229,1.318340549,0.860675475,0.684645487,0.435476703,0.372040462,0.248988718,0.44753949,0.29432293,0.358032896,0.281555316,0.335073595,0.492403106,0.485489251,0.301603304
180.9779,-0.127383615,-0.159411095,-0.138095598,-0.209153075,-0.211003123,-0.122503382,-0.165059094,-0.118691531,-0.112872285,-0.075012759,-0.088968939,-0.07193915,-0.145075065,-0.060822872,-0.055946454,-0.104680786,0.064987007,0.570649673,1.237177754,0.833438167,0.709747167,0.453821806,0.295317394,0.213027398,0.295700354,0.135714779,0.200108557,0.224846547,0.335696183,0.369006188,0.303783927,0.285245751
180.9779,-0.111764165,-0.140879365,-0.099803641,-0.167717669,-0.175686492,-0.124232253,-0.153221079,-0.079990955,-0.061495389,-0.025470484,-0.028520381,-0.047585388,-0.139254375,-0.036389333,-0.029142071,-0.107198045,0.109182782,0.51355571,0.929468154,0.628614175,0.589724515,0.410045995,0.186440954,0.118478741,0.092965999,-0.026647209,0.039915999,0.142197577,0.266667917,0.215842389,0.123919701,0.229054599
180.9779,-0.00035651,-0.026200985,0.002300767,-0.00211069,-0.004194285,-0.005477534,0.002446348,-0.007598016,-0.000745662,0.000803922,0.003049739,0.007070722,-0.011798688,,0.017430775,,0.031775701,0.031892308,0.057966322,0.016390668,0.007789215,-0.002990069,0.035693387,0.040918955,0.029339666,0.04072502,0.049201592,0.013332719,0.025688406,,0.025389751,
180.9779,-0.008861511,-0.073058844,0.003364071,-0.008144833,-0.024975448,-0.016376473,-0.005844497,-0.032954041,-0.002386918,0.003515872,-0.004535533,0.002095484,-0.031134386,,0.028388312,,0.074580562,0.067270225,0.166006471,0.047933547,0.006133229,0.018619265,0.085439541,0.098783531,0.081995186,0.082460563,0.114438605,0.05136938,0.061033209,,0.058538763,
180.9779,-0.025172604,-0.10663219,-0.012993983,-0.033495571,-0.054770982,-0.032557544,-0.029835951,-0.0608038,-0.011616665,-0.015387734,-0.032504554,-0.012598765,-0.057006933,,0.00045257,,0.113479219,0.104125584,0.303601793,0.099023381,0.041752467,0.058635472,0.127934636,0.135617861,0.151467191,0.157473817,0.184427369,0.096038073,0.102031113,,0.125732623,
180.9779,-0.050367352,-0.124387894,-0.049940693,-0.05800811,-0.091622406,-0.043925608,-0.060870713,-0.085373942,-0.03523259,-0.036832753,-0.067428055,-0.029031291,-0.081116609,,-0.035829228,,0.159260619,0.155663169,0.396876313,0.163190413,0.107231164,0.108480579,0.191780794,0.173428141,0.224744885,0.232420242,0.278602754,0.147866635,0.146226505,,0.208637877,
180.9779,-0.078000317,-0.135007514,-0.084592311,-0.088570934,-0.128363634,-0.04972248,-0.09212478,-0.109596788,-0.062269805,-0.055684011,-0.103338414,-0.043352345,-0.103932325,,-0.074142216,,0.200872663,0.226068038,0.484337164,0.25505378,0.188505089,0.16954993,0.267720013,0.210988336,0.299801289,0.300728349,0.383143306,0.206003725,0.190250462,,0.283997077,
