Iteration,estimated_params
1,"[0.1475827, 0.6486422, 0.23306972, 4.9577, 0.1058, 1.2562479, 0.8435499, 0.5400522, 0.1054, 2.4598732]"
2,"[4.9944, 4.824657, 4.9829, 4.890407, 4.9831, 4.9193, 4.9969273, 4.6708407, 4.956, 4.944863]"
3,"[4.9944, 4.7271404, 4.9829, 4.827037, 4.9831, 4.9193, 4.9971, 2.202455, 4.9711075, 4.972766]"
4,"[3.5872326, 4.948865, 4.9829, 4.9031677, 4.947868, 4.6882315, 3.5990715, 0.9259365, 4.9735675, 4.741104]"
5,"[0.706694, 4.612194, 4.9992, 3.695361, 4.551518, 0.24, 2.724661, 0.58965415, 2.9632163, 4.844195]"
6,"[0.6989087, 1.543682, 4.930902, 4.9772, 2.3777463, 0.82050234, 2.4806056, 0.1345, 2.1502786, 1.9904741]"
7,"[0.3561257, 1.2269567, 4.213954, 4.9934, 0.34268072, 3.1916106, 2.155678, 0.1116, 0.25861084, 4.9712]"
8,"[0.24556345, 1.0487095, 2.783648, 4.989753, 0.1058, 3.305093, 1.8698994, 0.1116, 0.25459313, 3.1140995]"
9,"[0.198784, 0.91683865, 1.4569473, 4.9934, 0.1058, 2.361128, 1.4001777, 0.35740334, 0.1178, 3.0316017]"
10,"[0.15766518, 0.8492073, 0.9702097, 4.9934, 0.1058, 1.8721236, 1.0532525, 0.5726764, 0.1054, 2.4663308]"
11,"[0.157, 0.76323074, 1.3032733, 4.9934, 0.1058, 1.6068103, 1.1514952, 0.4715062, 0.1054, 2.2835205]"
12,"[0.1606531, 0.7201701, 2.7431514, 4.4386067, 0.1058, 1.4828545, 1.5054665, 0.18490146, 0.1178, 2.8992057]"
13,"[0.24269548, 0.597457, 1.5291723, 4.318184, 0.68112135, 0.38514963, 1.6013112, 0.1144, 0.14262666, 4.3632817]"
14,"[0.29444626, 0.57048404, 2.180371, 1.8617653, 0.87933004, 0.29875386, 1.4396293, 0.12815838, 0.3011687, 4.9512]"
15,"[0.42750835, 0.63796145, 0.39522365, 4.7884, 1.2357509, 0.30496258, 1.5331476, 0.1144, 0.94863427, 4.9512]"
