Iteration,test_preds,estimated_params
1,"[-0.85877293, 4.077183, -0.25910577, 1.5402125, 1.0374811, 1.3831999, -0.2758536, 0.039533224, -0.32577357, 0.09393027, 0.0055561066, 0.13213742, -0.061858017, -0.2105418, 0.12438047, -0.12387317, -0.049992144, -0.015283476, 0.05264101, 0.047604453, 0.023533715]","[3.7821605, 4.869196, 1.7298014, 4.098773, 2.88119, 0.56956625, 2.872729, 4.082403, 4.7787094, 2.0635495]"
2,"[0.12868944, -0.5596103, -2.5453095, -3.8762949, -1.574107, -0.1061671, 0.37874004, 0.23430328, 0.13364471, 0.093626976, 0.08592714, -0.33609256, -0.022843655, 0.14014216, 0.00082170265, 0.12305559, -0.13907717, -0.03004319, -0.0039884537, -0.039242394, -0.06333288]","[1.510485, 1.213225, 3.4941819, 1.318775, 2.0073366, 2.4998102, 1.29662, 0.8108517, 1.9435759, 4.8645]"
3,"[0.11025431, -2.6162548, 4.9211197, 0.75085086, 1.0249957, -0.46454668, 0.49604446, -0.19300996, -0.16525252, -0.017589632, -0.04772825, -0.08470249, 0.17136529, 0.06050488, -0.12835003, 0.0042202654, -0.18295969, 0.014525898, 0.069716744, 0.055710386, -0.03928234]","[1.9400781, 3.4871922, 1.543039, 2.3645298, 3.367154, 3.440498, 3.8604312, 1.3540881, 0.42304635, 2.1758006]"
4,"[-0.36445913, 1.9488739, -2.532515, -0.64900976, -0.4983395, 2.255678, 0.045225482, 0.13824497, 0.041296843, 0.1723697, -0.095564604, 0.13763833, -0.14180477, -0.1267762, 0.18901959, -0.05706919, 0.04171908, -0.013739439, -0.061207753, -0.008483118, -0.10127753]","[3.035269, 2.631951, 3.4724507, 3.91403, 1.9038601, 0.92855966, 0.7030344, 3.6703901, 3.7486956, 3.85503]"
5,"[-0.0770913, 1.6126179, -4.7909503, 2.990575, 5.4590693, -2.2044191, -0.1938535, -0.09959867, -0.13783717, 0.15688263, 0.114560485, 0.05785771, 0.042302046, 0.104459606, 0.24567762, 0.06153844, 0.15693583, 0.1380386, -0.046732616, 0.10991619, -0.07370835]","[3.680166, 4.312155, 0.39916077, 0.9248831, 1.0725253, 1.5577747, 3.0183015, 3.6832874, 4.8133955, 3.310249]"
6,"[1.1983184, -6.2943625, 5.2390084, -2.6737525, -5.2807493, -0.9082411, -0.77031434, 0.5240975, 0.8100085, 0.04928847, 0.1687483, -0.050425153, 0.13853148, 0.029283172, -0.17362344, 0.20833638, 0.0628075, -0.008090389, -0.013591527, 0.14703842, -0.09188243]","[1.0713758, 0.3130643, 4.55868, 4.9082055, 4.2758207, 3.9953628, 1.843129, 0.93220466, 1.6275642, 0.21796097]"
7,"[-1.2032053, 5.6625524, 1.7420367, -1.0951577, -1.656614, -0.19078942, -0.057813313, -0.12189479, -0.14863734, 0.00027499403, -0.006618641, 0.28648624, 0.18851624, 0.18036821, 0.048487913, 0.120338, -0.021033991, -0.1016918, -0.049143936, 0.04072265, 0.01696047]","[0.6848928, 4.300859, 3.8046455, 3.2847161, 4.585733, 3.2600372, 3.305457, 2.6605084, 4.584027, 4.5958996]"
8,"[0.2917691, -2.9478207, 5.7304378, 2.9901319, -0.5167904, 1.3174424, -0.2883305, -0.07629245, -0.15980822, -0.0991508, -0.06880214, -0.110844254, 0.07643787, -0.07956936, 0.09384421, 0.14119545, 0.026857886, 0.019767677, 0.11987247, 0.05374633, 0.040407043]","[2.8827634, 2.6817787, 4.7983203, 2.1595018, 2.2379823, 2.5600572, 4.2329254, 2.9765944, 0.88473266, 0.8964326]"
9,"[-0.47446805, 1.5298167, 0.6370805, -1.4267169, 1.3135192, -1.4287428, 0.05065638, -0.030343542, 0.31260642, -0.08855831, -0.14462616, 0.12440636, -0.04689439, 0.09352712, -0.09890264, -0.11342535, -0.03631709, -0.017694447, -0.12255317, -0.08023742, -0.014633238]","[2.2645192, 1.7522364, 0.92078495, 2.216781, 2.9130824, 4.0985894, 1.1840829, 4.362633, 2.7506678, 2.6054852]"
10,"[0.49592516, -0.2676393, -4.583254, 4.1323686, -1.2965071, 3.302509, -0.20869207, 0.24952602, 0.03390081, 0.13660859, -0.07804953, 0.4151089, -0.173238, -0.49348792, -0.011977255, 0.10131947, -0.19978882, 0.020481925, -0.07654583, -0.10245239, 0.02316639]","[2.2729864, 3.3380127, 3.806032, 4.858948, 1.1332551, 0.28895807, 2.108311, 2.234601, 3.545908, 1.3031561]"
11,"[-0.2680434, -0.08388543, 4.174821, 1.3590286, 1.2186304, -1.2210349, 0.41582465, 0.0023326445, -0.1349371, -0.27788717, -0.15193199, 0.045335237, -0.019409487, 0.10687208, -0.21861306, -0.0908311, -0.025105625, 0.08479101, -0.049347904, -0.029140055, -0.042344492]","[2.621799, 1.9047318, 2.087522, 0.689005, 3.637645, 3.1437633, 3.6736107, 4.9867, 0.6092848, 2.9885175]"
12,"[-0.89910907, 2.3890228, 2.3038528, -2.9202554, 0.3856062, 2.5411882, 0.30200145, -0.28919855, -0.0040745186, 0.35192558, 0.11537083, 0.104084514, 0.071345545, -0.006246559, -0.21862228, 0.0008178148, 0.21886511, -0.011506309, -0.06708547, -0.008563111, -0.06554152]","[4.8394556, 4.503961, 4.6322803, 3.9851458, 3.7774184, 4.167368, 0.9470289, 2.7563727, 1.588465, 4.675312]"
