Iteration,test_preds,estimated_params
1,"[-0.9034833, 4.1365433, -0.36682785, 1.5663362, 1.0474322, 1.4163649, -0.2699355, 0.06607342, -0.34924334, 0.09449493, 0.010389566, 0.20506996, -0.07195024, -0.22624186, 0.1633857, -0.15244462, -0.090300106, -0.04431955, 0.07737104, 0.044875897, 0.028106503]","[3.576538, 4.9952, 1.4334853, 4.7397885, 2.872131, 0.64948285, 3.2034225, 3.2934463, 4.74, 1.8936585]"
2,"[0.14313108, -0.6113233, -2.5359657, -4.009743, -1.5793315, -0.0084037185, 0.36633423, 0.23664233, 0.14988303, 0.10031405, 0.0607518, -0.3506707, -0.0465495, 0.16930273, 0.024449214, 0.12892069, -0.14213014, -0.010185003, 0.02259314, -0.041056007, -0.047760397]","[1.4353973, 1.2488, 3.2438443, 1.4971, 2.009356, 2.453948, 1.469332, 0.63757986, 1.9360794, 4.9888163]"
3,"[0.1453538, -2.6672308, 5.008664, 0.7811814, 1.0320485, -0.47122192, 0.54448366, -0.20927876, -0.19969115, -0.018748283, -0.07305366, -0.09054941, 0.18691975, 0.043849945, -0.11035949, -0.0045356974, -0.17850345, 0.0057596564, 0.05389588, 0.054889172, -0.051003426]","[1.8086284, 3.750902, 1.6082921, 2.2871737, 3.329385, 3.4850767, 3.9504917, 1.1907307, 0.47104442, 2.094743]"
4,"[-0.3636816, 1.872179, -2.7748995, -0.65881985, -0.5892692, 2.376268, 0.064482674, 0.1486831, 0.07296109, 0.1779325, -0.10939452, 0.17946416, -0.14648063, -0.102924675, 0.21337225, -0.056453783, 0.02620399, -0.029416054, -0.039732724, -0.014991403, -0.09397617]","[3.123757, 2.5384982, 3.5582368, 3.5173984, 1.9279476, 0.9820839, 0.7630035, 3.5652115, 3.674868, 3.7313163]"
5,"[-0.04872322, 1.6783822, -5.2598085, 3.0186698, 5.805973, -2.593141, -0.21289179, -0.104343474, -0.13107562, 0.17544791, 0.15041065, 0.12398436, 0.076900154, 0.14677359, 0.35963345, 0.16331756, 0.2074202, 0.14315009, -0.04181365, 0.19427001, -0.06988345]","[4.2962484, 3.7265658, 0.56809855, 0.8002035, 0.9672547, 1.7566895, 2.7946405, 3.865629, 4.4088902, 3.263913]"
6,"[1.4637244, -6.289274, 5.0591164, -2.9664557, -5.402771, -0.95507824, -0.815588, 0.557016, 0.806215, 0.116781294, 0.68557596, -0.014800012, -0.01868105, 0.08462998, -0.2716502, 0.28691515, 0.11738449, 0.043063156, -0.017871112, 0.18537986, -0.15203375]","[1.0326205, 0.38601732, 4.9972, 3.9907973, 4.3884068, 3.6838396, 1.3837944, 1.679908, 1.4941593, 0.3011872]"
7,"[-1.2443677, 5.8353662, 1.6507881, -1.0981315, -1.7221682, -0.151896, -0.07359624, -0.13099182, -0.16320145, 0.026490405, -0.0036485195, 0.32820177, 0.18151653, 0.19768795, 0.061261058, 0.14034015, -0.03247701, -0.12446672, -0.036043018, 0.040226996, 0.027584076]","[0.6786486, 4.3770494, 3.1317084, 4.333957, 4.824826, 2.9964778, 3.273388, 2.7124138, 4.2480655, 4.532358]"
8,"[0.24923563, -2.9901552, 5.854388, 2.9915535, -0.5840461, 1.3707461, -0.30644438, -0.039630845, -0.14984825, -0.11779639, -0.09213054, -0.08106995, 0.11728379, -0.06855118, 0.12868905, 0.16484948, 0.034617186, 0.025021166, 0.11967453, 0.06236205, 0.053712778]","[2.665445, 3.0257723, 4.2273555, 2.871002, 2.2646668, 2.450504, 4.4991465, 2.4920824, 0.90434015, 0.89239436]"
9,"[-0.48545456, 1.6226025, 0.5343824, -1.3877889, 1.3081982, -1.4390571, 0.0653176, -0.018559217, 0.32324836, -0.10011163, -0.15588114, 0.16213883, -0.06156212, 0.079453476, -0.08791626, -0.14554447, -0.05487746, -0.026332602, -0.12046401, -0.085801035, -0.010640038]","[2.3134027, 1.7530407, 1.2376267, 1.6123648, 2.6858754, 4.5970855, 1.0161875, 4.6994405, 2.5671494, 2.7513962]"
10,"[0.5259778, -0.13387, -4.7091017, 4.2271185, -1.3194925, 3.371265, -0.17981447, 0.25203907, 0.065881886, 0.14483881, -0.08628872, 0.5029603, -0.14539257, -0.5352453, -0.032285154, 0.111403376, -0.2635484, 0.017037056, -0.09410994, -0.15754582, 0.012915283]","[2.4586787, 3.1385372, 4.1647224, 4.1970067, 1.1041733, 0.35701787, 1.8328689, 2.7944283, 3.4829128, 1.3011382]"
