Iteration,test_preds,estimated_params
1,"[-0.92264843, 4.242697, -0.28022575, 1.5983043, 1.0317965, 1.4114656, -0.27280995, 0.038888477, -0.36341327, 0.10471174, 0.0024874955, 0.1753602, -0.069888555, -0.23595771, 0.16975075, -0.14446616, -0.07434404, -0.035783917, 0.065056056, 0.056573793, 0.020657808]","[3.6619554, 4.7693925, 1.3963368, 4.735097, 2.8574235, 0.62505406, 3.0206516, 3.501709, 4.7047777, 1.8967506]"
2,"[0.11863732, -0.45196152, -2.6869633, -3.9578476, -1.6322913, -0.04275608, 0.40772152, 0.22524858, 0.12673682, 0.10721247, 0.08375357, -0.33579737, -0.024970382, 0.14827973, 0.014867708, 0.14141384, -0.152821, -0.037771314, -0.0030718148, -0.033747494, -0.06451267]","[1.4975482, 1.2185467, 3.3494468, 1.366174, 2.0155928, 2.5429366, 1.3806328, 0.7260676, 1.9324094, 4.524281]"
3,"[0.12117493, -2.7654848, 4.925105, 0.7729075, 1.0584016, -0.5389261, 0.53566927, -0.19884938, -0.18200067, -0.025361985, -0.056737587, -0.085228264, 0.19410104, 0.058636367, -0.10999781, -0.0059519764, -0.20518011, -0.0057743364, 0.05813934, 0.05487305, -0.048146814]","[1.8194635, 3.834423, 1.6366916, 2.3270588, 3.5100439, 3.271605, 3.8537695, 1.3795731, 0.4426193, 2.1829886]"
4,"[-0.3722787, 2.0267034, -2.604519, -0.6396846, -0.5767448, 2.2756476, 0.058739185, 0.1454417, 0.041383684, 0.17946509, -0.09865478, 0.16531187, -0.16632977, -0.13599253, 0.21046755, -0.058321685, 0.027630746, -0.02810514, -0.045915097, -0.008633204, -0.10491228]","[3.2105978, 2.4653022, 3.7225902, 3.3809488, 1.858303, 1.0059956, 0.6645436, 3.7515016, 3.7094774, 3.65865]"
5,"[-0.06334996, 1.7633848, -4.9141707, 2.9300132, 5.702673, -2.5276933, -0.23040253, -0.115332425, -0.16946754, 0.19266765, 0.15682536, 0.109344184, 0.03949493, 0.098935604, 0.3306542, 0.13140571, 0.21388698, 0.14400455, -0.061577417, 0.13927934, -0.075990915]","[4.1542287, 3.8728988, 0.5493136, 0.79531634, 0.92556596, 1.7192435, 2.7177005, 3.9771507, 4.489137, 3.3590677]"
6,"[1.264938, -6.35841, 5.291209, -2.6308837, -5.536236, -1.0699657, -0.7752236, 0.5349767, 0.847384, 0.055521846, 0.20513183, -0.08079305, 0.16555148, 0.020530641, -0.2058031, 0.22635952, 0.1293425, 0.0573349, -0.007862866, 0.21263066, -0.10341661]","[1.0712899, 0.37708026, 4.850067, 4.3347263, 4.170185, 4.084223, 1.7303545, 1.0344816, 1.6079627, 0.23950079]"
7,"[-1.2564654, 5.755299, 1.676209, -1.1029005, -1.6974465, -0.115434885, -0.061440527, -0.10777716, -0.15052655, 0.02007544, -0.009942412, 0.32917255, 0.16533965, 0.18762374, 0.065483764, 0.14102477, -0.039229438, -0.12799741, -0.036849834, 0.041959703, 0.03013109]","[0.6235595, 4.5887175, 3.193935, 4.14349, 4.783774, 3.1352937, 3.317938, 2.7155225, 4.323119, 4.589105]"
8,"[0.30067372, -3.0900345, 5.8249235, 3.047295, -0.57505035, 1.3402759, -0.29257855, -0.082129836, -0.15126774, -0.1291098, -0.09282285, -0.10577279, 0.11779931, -0.090705216, 0.14160883, 0.15841652, 0.031432092, 0.018076032, 0.10901284, 0.06507766, 0.049060225]","[2.7166238, 2.980836, 4.193026, 3.0389922, 2.3989196, 2.2998526, 4.5990314, 2.2653384, 0.9378976, 0.8653614]"
9,"[-0.51191175, 1.5928888, 0.5610466, -1.4739801, 1.3555576, -1.4621191, 0.06135714, -0.031424552, 0.32091454, -0.09514281, -0.15786588, 0.13872871, -0.046837598, 0.10167682, -0.09946619, -0.14382859, -0.03806004, -0.014659926, -0.11624639, -0.08694768, -0.007632423]","[2.294037, 1.7416556, 1.0966096, 1.8891219, 2.7474706, 4.3726354, 1.0791055, 4.6832, 2.6254895, 2.6750913]"
10,"[0.49651647, -0.21650839, -4.755369, 4.1466174, -1.3174211, 3.4524744, -0.18071923, 0.24144801, 0.069282785, 0.14181298, -0.0991239, 0.48605722, -0.16739698, -0.5201179, -0.02634275, 0.10288054, -0.2310794, 0.017536044, -0.08970755, -0.14462428, 0.022960365]","[2.4068923, 3.116715, 3.814885, 4.6150794, 1.1409286, 0.31700027, 2.0039978, 2.5886097, 3.463932, 1.2602233]"
11,"[-0.302382, -0.09043884, 4.1728554, 1.4356651, 1.2910736, -1.2696013, 0.4181623, -0.003784448, -0.16431367, -0.32532313, -0.1764111, 0.04257457, -0.0236879, 0.11755264, -0.22415099, -0.12668169, -0.021895073, 0.083996564, -0.05731377, -0.034784645, -0.05678183]","[2.5786211, 1.9482712, 1.8418884, 1.1067644, 3.9361737, 2.7565775, 3.787547, 4.5944896, 0.64919555, 2.8762724]"
12,"[-0.97542775, 2.547904, 2.345563, -2.9269638, 0.33677298, 2.5866551, 0.32585326, -0.2870683, -0.0028764457, 0.39296165, 0.11251631, 0.15693198, 0.054134928, -0.020870328, -0.22063428, 0.024926327, 0.26758623, 0.01088208, -0.09060163, -0.0015241839, -0.058561333]","[4.663296, 4.6222615, 4.404276, 3.8995032, 3.5989528, 4.467775, 0.9694204, 2.6623113, 1.4456775, 4.802761]"
13,"[0.26681852, 1.1164527, -3.583632, 0.8030375, -2.6135912, -4.4066467, -0.1596508, -0.054665327, 0.12873194, 0.09661934, 0.28772295, -0.32317615, 0.06463951, -0.031458616, 0.18994628, -0.0112360865, -0.26820755, 0.037082076, 0.07673553, 0.06959784, 0.09950617]","[0.55984527, 0.9978275, 0.6714017, 2.4757748, 1.4753811, 2.2023096, 4.668209, 0.4369802, 4.5578947, 1.8049415]"
14,"[0.30622482, -1.2627497, -4.423987, -2.972709, 0.15069205, 0.93358517, 0.021764696, 0.2912709, -0.2686423, 0.39095265, -0.45794386, 0.07344836, -0.17611897, 0.19357413, 0.16050233, -0.11498088, 0.0145894885, -0.110793784, 0.09009665, -0.03317143, -0.05090636]","[1.297427, 3.933808, 2.4690459, 1.588865, 2.0821292, 0.89628625, 0.22709954, 3.6083574, 2.523618, 3.820738]"
15,"[-0.9486699, 3.6934729, 2.672322, 0.5604203, -0.3216195, 0.23275137, -0.3524504, 0.39826447, 0.471973, -0.36971015, 0.0038757324, -0.23538244, 0.12012942, -0.04171294, -0.019864857, 0.049329326, 0.06410673, 0.05060624, 0.12789582, -0.04874167, 0.019940142]","[3.8127155, 0.2689603, 2.9351354, 2.5917764, 3.0796826, 3.705182, 4.355356, 1.252084, 4.17136, 0.4840179]"
16,"[-0.48995447, 1.11934, 0.2432971, -3.3776937, 4.577315, -2.3387842, -0.0063067228, 0.017815769, 0.025176331, 0.32951874, 0.17233735, 0.0116737485, 0.18132176, -0.0032788515, -0.20900935, 0.07400286, -0.0982351, 0.08697316, -0.07185793, -0.21618392, 0.11463187]","[3.312237, 3.6977541, 1.2476966, 0.26171392, 4.61117, 3.831946, 1.5194468, 1.6264249, 2.7688708, 2.4051719]"
17,"[0.39602494, -1.1268063, -1.5778728, 4.0409527, -1.9481564, 1.6023078, 0.5357324, -0.41011372, 0.016533315, -0.1301234, -0.026049152, 0.024394944, -0.31030607, 0.08303401, 0.0057602823, 0.12965657, 0.029475331, 0.020687401, -0.05414197, 0.038723525, 0.0070702434]","[1.5988168, 2.3700671, 4.0039225, 4.164082, 0.5793964, 1.8794786, 2.936297, 3.7750907, 0.729836, 4.133502]"
18,"[-0.114831924, -1.272913, 0.4228654, -3.7619457, 1.343749, -0.012328148, -0.09445066, -0.018005237, 0.01290369, 0.31127426, -0.3643914, 0.211684, -0.05289191, 0.07008821, -0.14747621, -0.18440051, -0.022725984, -0.031705916, -0.012161404, 0.078353316, 0.01576753]","[1.5329282, 4.6277714, 0.93058485, 3.1179843, 4.1222553, 2.1728492, 0.42381573, 3.285657, 2.1815305, 1.5493108]"
19,"[-0.85834134, 4.256744, -0.6030073, 1.1693934, -0.16198325, 0.92050266, 0.13441946, -0.20504086, 0.26507014, -0.091687776, 0.23058626, -0.2715719, -0.008228242, 0.14353657, 0.22782949, 0.0804694, -0.033560753, -0.0020577908, 0.058826916, -0.07120001, -0.055798486]","[3.6508536, 0.98157173, 3.7529373, 1.8749833, 0.8024168, 4.5453644, 4.0075417, 0.8830303, 3.9152834, 4.2623487]"
