Iteration,test_preds,estimated_params,posterior_means
1,"[-0.92604405, 4.2064524, -0.14584722, 1.5823658, 1.0276291, 1.3622413, -0.10103783, 0.0072160363, -0.3287145, 0.083400965, -2.092123e-05, 0.18907627, -0.05500473, -0.21170223, 0.15987429, -0.14688861, -0.053147882, -0.023985565, 0.066912174, 0.055686593, 0.016161934]","[3.7284205, 4.752514, 1.4510736, 4.7106752, 2.9518788, 0.48056307, 3.0954149, 3.0985017, 4.8268423, 1.8411183]","[3.864870548248291, 4.530383110046387, 1.4950227737426758, 4.590747356414795, 2.9652795791625977, 0.4467553198337555, 3.091801404953003, 3.2689051628112793, 4.62810754776001, 2.146332025527954]"
2,"[0.14150321, -0.78692394, -2.081661, -3.9231684, -1.6669055, 0.17834556, 0.40609145, 0.25764382, 0.17616215, 0.092853606, 0.035206318, -0.286296, -0.036341786, 0.1538384, 0.021555215, 0.14750803, -0.13174081, -0.02527821, 0.017941833, -0.038346946, -0.059717014]","[1.4083766, 1.2588241, 3.2690632, 1.3175478, 1.9905231, 2.7029486, 1.540021, 0.5941473, 2.0003777, 4.8645]","[1.3643640279769897, 1.3581405878067017, 3.2259700298309326, 1.4987993240356445, 2.269577741622925, 2.7402548789978027, 1.5376920700073242, 0.6463522911071777, 2.056262731552124, 4.180947303771973]"
3,"[0.15205675, -2.818056, 4.8347154, 0.9810018, 0.8652719, -0.6502669, 0.5477346, -0.17827788, -0.15645406, -0.052099735, -0.07003707, -0.089854, 0.18598956, 0.073642135, -0.10368103, 3.6045793e-05, -0.19308606, -0.004936151, 0.054542735, 0.061062574, -0.046216607]","[2.1100883, 3.973656, 1.7686263, 2.0978754, 3.5103474, 3.674136, 3.5285661, 1.5421969, 0.43694544, 2.1960769]","[2.0938479900360107, 4.003693103790283, 1.758414626121521, 2.118938684463501, 3.5208888053894043, 3.6713550090789795, 3.5785257816314697, 1.5396047830581665, 0.4397835433483124, 2.201888084411621]"
4,"[-0.28987625, 1.6805347, -2.9219599, -0.43483523, -0.18996993, 2.4169192, 0.049224585, 0.17210147, 0.081067674, 0.16845414, -0.10782889, 0.18452077, -0.16449401, -0.14499849, 0.20738982, -0.0779483, 0.035407305, -0.013011277, -0.04448515, -0.0049375594, -0.099883646]","[3.0150921, 2.6248255, 3.8423927, 3.209239, 1.9151552, 1.0928315, 0.7635174, 3.8146043, 3.6024122, 4.1116]","[3.235042095184326, 2.637087106704712, 3.601513385772705, 3.3538408279418945, 1.904909610748291, 1.1010539531707764, 0.8102025389671326, 3.7312421798706055, 3.696931838989258, 3.830411195755005]"
5,"[-0.0017280579, 1.6723707, -5.270745, 3.1195903, 5.65302, -2.5321136, -0.115664646, -0.13230878, -0.09481177, 0.16065711, 0.14683479, 0.13062906, 0.062425345, 0.15287018, 0.33617997, 0.13809282, 0.22899216, 0.17728673, -0.07478273, 0.13759202, -0.08485699]","[4.001421, 4.4083195, 0.52754563, 0.8685202, 1.0708268, 1.6041553, 2.8874252, 3.584397, 4.3485184, 3.3134768]","[4.171371936798096, 4.10845422744751, 0.5398560762405396, 0.856590986251831, 1.0350197553634644, 1.6787985563278198, 2.8523519039154053, 3.6339733600616455, 4.297191143035889, 3.495878219604492]"
6,"[0.93617606, -5.890687, 5.5434213, -3.4892442, -4.660115, -0.24629807, -0.1666646, 0.49866414, 0.7847706, 0.008535862, 0.19207215, -0.00859046, 0.40517873, 0.05482018, 0.06761302, 0.2820863, 0.06971836, 0.08278918, 0.016822413, 0.21114951, 0.0060340613]","[1.0357958, 0.13702634, 3.7416694, 4.9934, 4.610247, 3.0121026, 1.6403198, 1.4700989, 1.8143889, 0.1075]","[0.9437113404273987, 0.19490642845630646, 4.0070695877075195, 4.76170015335083, 4.316550254821777, 3.3409266471862793, 1.5849905014038086, 1.550706386566162, 1.7500269412994385, 0.1254328042268753]"
7,"[-1.2430184, 5.6489615, 1.7692574, -1.3184922, -1.7863797, -0.045452595, -0.05617495, -0.08985782, -0.15460579, 0.047638535, -0.0032302141, 0.33225974, 0.18497893, 0.17133605, 0.04196863, 0.16196224, -0.036913276, -0.14971232, -0.04770893, 0.032227017, 0.027464584]","[0.656329, 4.5129237, 3.0539322, 4.106579, 4.5994244, 3.1649032, 3.400872, 2.9224901, 4.399736, 4.751898]","[0.6572740077972412, 4.510715484619141, 3.069485902786255, 4.071132659912109, 4.583774566650391, 3.2034037113189697, 3.391923427581787, 2.9218931198120117, 4.402499675750732, 4.741515159606934]"
8,"[0.2906574, -2.9878023, 5.736576, 2.9024932, -0.6985265, 1.2494493, -0.28790992, -0.044789553, -0.079114184, -0.14424306, -0.072773695, -0.13764781, 0.10415134, -0.09185079, 0.10929263, 0.16317761, 0.026416577, 0.009565502, 0.11898034, 0.05736798, 0.03110215]","[2.7742736, 3.3489716, 4.2379236, 2.9662683, 2.4347422, 2.123251, 4.5056467, 2.6419463, 0.88030463, 0.89907664]","[2.7812376022338867, 3.3001739978790283, 4.233940601348877, 3.0000462532043457, 2.4307873249053955, 2.1734330654144287, 4.490057468414307, 2.6607885360717773, 0.8844257593154907, 0.8973388671875]"
9,"[-0.44452608, 1.3283906, 0.37821156, -1.4444416, 1.2857689, -1.5085554, 0.055204332, -0.050694764, 0.35614592, -0.12151563, -0.1806168, 0.13068855, -0.06196636, 0.10449684, -0.09400834, -0.1401337, -0.0366773, -0.028539957, -0.109140694, -0.08384746, -0.011762559]","[2.3057995, 1.8632861, 1.1597439, 1.7927872, 2.987214, 4.309896, 1.1975427, 4.3951035, 2.5357952, 2.8322694]","[2.301434278488159, 1.8679617643356323, 1.1493197679519653, 1.812442660331726, 2.9917519092559814, 4.308452129364014, 1.1963657140731812, 4.412909984588623, 2.5531418323516846, 2.8152689933776855]"
10,"[0.52855456, -0.41411972, -4.8357077, 4.08694, -1.3552902, 3.353764, 0.020970399, 0.13649344, 0.072171465, 0.15252359, -0.116621256, 0.4414013, -0.13872212, -0.45318875, -0.029901166, 0.0943934, -0.2024535, -0.00065872073, -0.09491807, -0.10837935, 0.03216675]","[2.8171208, 2.7344086, 3.8343503, 4.8630857, 1.2615421, 0.21469404, 2.0511777, 2.5880954, 3.5273588, 1.1970748]","[2.789050817489624, 2.7526462078094482, 4.131442070007324, 4.452106475830078, 1.223442554473877, 0.26450005173683167, 1.9844334125518799, 2.668027639389038, 3.3793768882751465, 1.4023654460906982]"
