Iteration,test_preds,estimated_params,posterior_means
1,"[-0.9188703, 4.237648, -0.3057015, 1.6014117, 1.0356444, 1.3795472, -0.25761443, 0.03454461, -0.35991207, 0.10078013, 0.010381895, 0.17461544, -0.07605245, -0.23507799, 0.17067051, -0.14710182, -0.0775277, -0.028670406, 0.06362221, 0.050910905, 0.026717715]","[4.051379, 3.2426324, 3.501468, 4.1071644, 3.4770508, 3.61397, 4.322642, 3.4834, 4.252313, 3.8433914]","[3.868678331375122, 2.757565498352051, 2.69840931892395, 2.6666245460510254, 2.2371654510498047, 2.5825676918029785, 3.1898293495178223, 2.573472023010254, 3.6926584243774414, 2.7956435680389404]"
2,"[0.11426632, -0.49735582, -2.5554802, -3.9195795, -1.6026626, -0.008328669, 0.39115417, 0.23345234, 0.13555804, 0.100237064, 0.08419465, -0.3363312, -0.030642414, 0.13318087, 0.008629785, 0.14112595, -0.15811867, -0.042068925, -0.015290639, -0.030323379, -0.05891335]","[2.9953692, 2.4746997, 2.8227737, 1.4619251, 2.6718547, 2.668207, 1.3008028, 1.9707806, 3.0264637, 2.8494806]","[3.0038018226623535, 2.667074203491211, 2.808121919631958, 2.4866456985473633, 2.6489222049713135, 2.2963602542877197, 1.7714147567749023, 2.227874994277954, 2.785396099090576, 2.6249799728393555]"
3,"[0.114178605, -2.7219396, 4.9489655, 0.76499164, 1.0067132, -0.49291766, 0.5419113, -0.19894369, -0.18946922, -0.024518149, -0.061873753, -0.08192311, 0.19186631, 0.05335062, -0.11552389, -0.002819121, -0.2001268, -0.0024797476, 0.05622186, 0.06311692, -0.045271408]","[2.7895982, 2.8905158, 2.4175005, 2.7205808, 3.054292, 2.7231426, 3.4621422, 2.3505404, 0.51006734, 2.4565978]","[3.0678093433380127, 2.541574239730835, 2.662506103515625, 2.6249964237213135, 2.8468127250671387, 2.901052474975586, 3.940685510635376, 2.4482898712158203, 0.5822893977165222, 1.5482230186462402]"
4,"[-0.3754141, 2.0062516, -2.5714889, -0.70416653, -0.6008268, 2.3033435, 0.0577892, 0.14662816, 0.047690425, 0.17728087, -0.096795686, 0.16278641, -0.16927372, -0.14186709, 0.22032598, -0.054993335, 0.0269615, -0.027740575, -0.049246173, -0.0053432737, -0.10844864]","[1.7139481, 1.8902285, 2.9934213, 3.553334, 2.101267, 1.0179777, 1.9501994, 1.4684814, 2.216139, 2.7982492]","[2.7653515338897705, 2.5945017337799072, 2.853055953979492, 3.3729302883148193, 1.8948992490768433, 2.3988471031188965, 1.975946068763733, 2.516530990600586, 3.067209243774414, 2.7597107887268066]"
5,"[-0.05492208, 1.7442683, -4.876606, 3.0480075, 5.7851243, -2.4293528, -0.22039711, -0.10785869, -0.14472672, 0.18061054, 0.15019229, 0.11444141, 0.03651927, 0.103845894, 0.31010044, 0.12339035, 0.20639212, 0.16508907, -0.06499362, 0.14295281, -0.08488635]","[2.104248, 1.8841392, 0.30142283, 0.83732295, 0.9473283, 1.2095953, 1.5943921, 0.9480721, 1.6808436, 1.9165752]","[3.056347608566284, 4.086688041687012, 2.435037136077881, 4.546189785003662, 2.432244062423706, 3.0583157539367676, 2.756434679031372, 2.9810950756073, 3.119107246398926, 2.787224769592285]"
6,"[1.199295, -6.232323, 4.8745875, -2.7505739, -5.4599147, -1.0978509, -0.6788087, 0.49509075, 0.77588844, 0.054396756, 0.18283607, -0.09397791, 0.20005666, -0.009112836, -0.15899193, 0.23029354, 0.107774585, 0.038952086, 0.0024691264, 0.1806523, -0.0885342]","[0.48490405, 0.7396509, 2.678121, 1.9723634, 0.87604564, 2.688077, 0.9581618, 2.5229185, 1.2496144, 0.4418988]","[3.2957513332366943, 2.5635793209075928, 2.5692555904388428, 2.5449934005737305, 2.53397274017334, 2.600318670272827, 2.7784736156463623, 2.3764021396636963, 1.4182735681533813, 2.0041282176971436]"
7,"[-1.2921146, 5.8862143, 1.6602916, -1.0803798, -1.6537261, -0.085491374, -0.061446067, -0.112618856, -0.1536668, 0.020541063, -0.0066415137, 0.32363144, 0.1714746, 0.1926124, 0.062711656, 0.14719616, -0.040072545, -0.12642877, -0.042456023, 0.04046824, 0.024962308]","[2.006849, 2.7711718, 3.7046888, 3.0333424, 3.510294, 2.7238133, 3.4122777, 3.404811, 4.4865365, 3.7582617]","[2.359931707382202, 2.5520894527435303, 3.488699436187744, 2.6448967456817627, 3.7490499019622803, 2.804746627807617, 4.017366409301758, 3.062498092651367, 4.434624195098877, 3.700026035308838]"
8,"[0.29535782, -3.008083, 5.4057555, 3.011147, -0.5745632, 1.3527582, -0.29392987, -0.06886162, -0.1582036, -0.12386279, -0.0888123, -0.10869318, 0.10630327, -0.096222594, 0.13103092, 0.16060194, 0.033959437, 0.01798216, 0.11309506, 0.062148504, 0.04844533]","[2.3354573, 1.8846453, 1.5852239, 2.2041469, 2.1348732, 2.1838937, 2.7549143, 0.43021098, 0.26849413, 0.8396908]","[3.0380444526672363, 2.9210147857666016, 2.7979683876037598, 2.805605411529541, 3.4609994888305664, 3.2941830158233643, 2.9137563705444336, 2.512334108352661, 0.9225912690162659, 1.3456826210021973]"
9,"[-0.521239, 1.6390588, 0.5289521, -1.5066088, 1.3108683, -1.4651847, 0.07107565, -0.025091723, 0.31654736, -0.096189156, -0.15254949, 0.13650148, -0.05177538, 0.103930935, -0.1002675, -0.139173, -0.046464603, -0.022283576, -0.12123735, -0.081440754, -0.0065021953]","[2.2383945, 1.7853963, 1.9296194, 1.5105867, 1.7959641, 2.3910651, 1.4125018, 3.18731, 2.0510721, 2.0811791]","[2.646402359008789, 2.964627981185913, 1.9149802923202515, 2.4869985580444336, 2.9953725337982178, 2.8149170875549316, 2.5536534786224365, 2.534954309463501, 2.932018756866455, 2.7176380157470703]"
10,"[0.49814442, -0.28205904, -4.703889, 4.221009, -1.3469487, 3.3285234, -0.18147111, 0.25476488, 0.05588955, 0.13715547, -0.10604083, 0.4678316, -0.15972447, -0.463661, -0.031869918, 0.10911408, -0.23068763, 0.014416728, -0.08214664, -0.14588651, 0.022651965]","[2.6193197, 4.073086, 3.1379554, 3.758359, 1.0981336, 2.0489936, 3.3429747, 3.0194745, 2.953778, 2.5007532]","[2.3528690338134766, 2.7004096508026123, 3.4913525581359863, 3.0539357662200928, 1.2111760377883911, 2.250176191329956, 2.3677728176116943, 2.1591460704803467, 3.014315605163574, 2.7121732234954834]"
