Iteration,test_preds,estimated_params,posterior_means
1,"[-0.91830856, 0.6162315, 0.6776034, 1.0108515, -0.0022022175, -0.07722242, 0.3936935, 0.5742116, 0.70468473, 0.9540801, -0.1783725, 0.1633856, 0.49018362, 1.0588766, 1.0514587, 0.90724206, 1.0317539, 0.9040211, -0.62122476, -0.7457471, -0.82725626, -0.1477864, -0.043718014, -0.38166803, -0.57284886, -0.95386004, -0.914243, 0.054292135, -0.08812119, -0.4466916, -0.8307786, -0.84367263, -0.9350532, -0.86477345, -0.805217, 0.77000993, 0.8629415, 0.58527905, 0.09174826, -0.031598635, 0.35866165, 0.71785367, 1.0805743, 1.1342549, -0.15798461, -0.21212626, 0.30429718, 0.83141094, 0.64399433, 0.82330406, 0.620436, 0.79411894]","[3.5598483, 3.1406507, 2.644288, 2.5804386, 2.3734515, 2.760192, 3.1443043, 2.5199168, 3.843417, 2.7796748]","[3.780651807785034, 3.25936222076416, 2.3099637031555176, 1.703951120376587, 2.517110586166382, 3.8553740978240967, 3.441190242767334, 2.701528549194336, 4.22054386138916, 1.5446094274520874]"
2,"[0.11442545, -1.223967, -1.2382929, -0.8528184, -0.017700752, 0.074750334, 0.14862138, -1.1425449, -1.1975306, -0.532485, 0.15422788, -0.023032852, 0.23286751, -0.106883824, 0.37364143, 0.35852695, 0.404894, 0.39853722, 1.1185372, 1.2313681, 0.75230396, -0.049352538, -0.18910944, -0.1736927, 0.8826854, 1.3917133, 0.61659586, -0.1331089, -0.18322898, -0.1898592, -0.28675687, -0.54147446, -0.50283146, -0.46867692, -0.4761023, -1.3054813, -1.1890756, -0.5727432, 0.058951445, 0.2312495, -0.062097568, -0.91767645, -1.5987046, -1.1367079, 0.0015473932, 0.3294993, -0.16349278, 0.5801146, 0.6960021, 0.6089656, 0.45581925, 0.55478835]","[2.2148554, 1.783731, 1.8936352, 1.7352403, 0.9535428, 2.2874587, 1.1932693, 1.8497877, 2.5165317, 1.9506987]","[4.199045658111572, 4.243311882019043, 3.130955219268799, 2.82771635055542, 4.719058036804199, 2.2357752323150635, 1.144566297531128, 2.926442861557007, 4.549896717071533, 2.037313461303711]"
3,"[0.11432534, 0.59364915, 0.6164559, 0.4691315, 0.7659764, 0.72950625, -0.10658719, 0.5955505, 0.43117484, 0.23052035, 0.6672553, 0.67900866, -0.37917876, -1.1527671, -1.3024637, -1.0948294, -1.6088557, -1.4002761, -0.52009624, -0.5601135, -0.52641195, -0.6751869, -0.60586846, -0.06434798, -0.4443458, -0.30185848, -0.40093258, -0.6322322, -0.5998116, 0.11888926, 1.136548, 1.2874297, 1.4336153, 1.6661566, 1.3432808, 0.3711343, 0.37772036, 0.53044593, 0.67856324, 0.569575, 0.15877624, 0.12555233, 0.08733165, 0.60891396, 0.6864138, 0.5124018, 0.1995157, -1.3104924, -1.0322777, -1.2280504, -1.0344211, -1.1362258]","[1.8270608, 1.2561529, 2.2715547, 2.5877905, 3.0507045, 2.492409, 2.2423286, 0.8646693, 0.9890501, 1.0097126]","[2.6317975521087646, 2.635789155960083, 2.5753533840179443, 2.486283540725708, 2.884131669998169, 2.674844980239868, 2.6974174976348877, 2.682875871658325, 2.470219612121582, 4.614063262939453]"
4,"[-0.37543347, -0.5260894, -0.5491678, 0.29747823, -0.5480227, -0.46229053, 0.7879155, -0.7075513, -0.467719, 0.52136177, -0.58028674, -0.37579888, 0.96910965, 0.38830984, 0.9432451, 0.71762866, 1.1441808, 0.84662795, 0.32384166, 0.3577167, -0.23280016, 0.29275668, 0.21201302, -0.60897493, 0.38317648, 0.41497996, -0.37240228, 0.42804125, 0.23715268, -0.6906773, -0.63223875, -0.8121996, -0.9003874, -0.853485, -0.79947394, -0.15116571, -0.071804896, 0.13726403, -0.32898793, -0.14330296, 0.40125194, 0.006160047, 0.06757723, 0.15317641, -0.5025049, -0.26661307, 0.15855317, 0.95676345, 0.72949934, 0.9744831, 0.50216544, 0.8549721]","[3.0213199, 2.8357608, 3.0102744, 2.1583383, 1.9203112, 3.3337867, 1.0086119, 2.0659828, 3.1303692, 2.8198016]","[2.810647964477539, 3.521414279937744, 3.3603973388671875, 2.1121437549591064, 1.7058143615722656, 4.080528736114502, 0.9063120484352112, 1.6237224340438843, 4.458922863006592, 2.870185613632202]"
5,"[-0.054360125, 0.5816474, 0.5975034, 0.8499149, -0.97842497, -1.2591298, -2.5015073, 1.1925337, 0.6171159, 0.85200083, -0.88127375, -0.9228807, -2.1289263, 1.2586477, 1.1088709, 0.9215979, 0.477345, 0.9938272, -0.46499658, -0.6421775, -0.6683077, 0.83774817, 1.2440014, 2.836094, -0.676718, -0.78280175, -0.87397844, 0.67457515, 1.2636387, 2.338356, -0.87638164, -0.99892366, -0.89873135, -0.9149992, -0.898618, 0.14720239, 0.68749565, 0.41782713, -1.001642, -1.7584258, -2.6654956, -0.22549517, 0.8823223, 1.1424433, -0.6805988, -1.589973, -2.0560217, 0.7611971, 0.9094815, 0.7502956, 1.2059331, 0.95821756]","[3.5742333, 2.256623, 0.49492747, 0.8375586, 1.2854524, 1.4898664, 3.4012995, 2.0993912, 4.7183423, 2.9095664]","[2.7052690982818604, 4.625832557678223, 0.36518537998199463, 0.9612022638320923, 4.1288743019104, 0.41804832220077515, 4.059263229370117, 0.2192946970462799, 4.394237041473389, 3.484750986099243]"
6,"[1.1644479, -0.6096683, -0.69420063, -1.8555707, 0.92472553, 1.1346796, 1.193974, -0.97669506, -0.7944238, -2.140013, 1.1062365, 0.8726788, 0.9032371, -1.6632091, -2.230237, -1.469667, -1.2430564, -1.7511642, 0.3951481, 0.8116869, 1.6311288, -0.718249, -0.96053547, -1.0377823, 0.5382613, 1.2694103, 2.109979, -0.810715, -1.001325, -0.97827303, 1.6715547, 1.9053996, 1.9067537, 1.6568031, 1.6976686, -0.36387724, -0.96604645, -1.0667638, 0.7489801, 1.3373432, 1.3933975, -0.077143095, -1.506994, -2.329961, 0.70087475, 1.3076969, 1.384313, -2.05719, -2.0243921, -2.5044215, -2.0914183, -2.294107]","[0.4930588, 1.158429, 4.542813, 4.9934, 4.2479935, 4.271059, 1.2773591, 2.1348577, 1.4564056, 0.2784913]","[0.5958784222602844, 1.123489499092102, 4.195611476898193, 3.563053607940674, 4.243873596191406, 3.6195387840270996, 2.9376168251037598, 2.5385642051696777, 1.5314680337905884, 4.74815559387207]"
7,"[-1.2920617, 0.6534716, 0.5452801, -0.11300612, 1.0071009, 1.1143241, 0.9037684, 0.5337353, 0.6740521, -0.27736175, 1.098112, 1.228056, 0.79232764, 1.1344814, 1.0989324, 1.3409694, 1.1606773, 1.0574558, -0.6506754, -0.4456897, -0.07859083, -0.8594499, -0.9237939, -0.8751328, -0.60465825, -0.6552355, -0.011333038, -0.88891363, -1.1053889, -0.9204572, -0.8931643, -1.0357753, -1.1230803, -1.0507424, -0.9596484, 0.75220346, 0.24449024, 0.14962973, 0.96690756, 1.1641239, 1.2568412, 0.9062481, 0.5150312, 0.3422238, 0.96489406, 1.1674839, 1.4325273, 0.93711615, 1.0655673, 0.9314645, 0.9204695, 1.0687491]","[0.84907424, 2.9880917, 3.2679942, 3.3366363, 4.584221, 3.6502676, 3.1516747, 3.6137679, 4.4279423, 4.4072657]","[0.3530958592891693, 4.774925708770752, 3.260580539703369, 3.437764883041382, 4.701305866241455, 3.464540481567383, 3.118530511856079, 3.1124768257141113, 4.320493221282959, 4.6777167320251465]"
8,"[0.29702565, 0.9719194, 0.9444772, 0.56553197, 0.30968502, 0.36617345, 1.0031643, 0.70397764, 0.8080991, 0.34039363, 0.12377566, 0.20691065, 0.86297643, -1.1170167, -1.54005, -1.5480856, -1.1431004, -1.5981795, -0.8636408, -0.87579554, -0.5649613, -0.35218295, -0.4003487, -0.8655475, -0.6872637, -0.8887657, -0.4482716, -0.21579763, -0.27707452, -0.8123012, 1.3037441, 1.8178908, 1.8049109, 1.5759737, 1.6775134, 0.99550134, 0.8113284, 0.43272856, 0.3001168, 0.4761523, 1.0211152, 0.9188559, 0.82097906, 0.58932936, 0.22617191, 0.2650233, 0.8397986, -1.8015273, -1.8146542, -1.6154737, -1.646135, -1.7222931]","[2.692563, 1.6958967, 2.9547088, 2.320948, 1.8844388, 3.7426808, 3.795894, 2.398621, 0.42921683, 1.6986789]","[3.510622262954712, 2.5916759967803955, 2.022326946258545, 4.457195281982422, 4.9176106452941895, 3.741259813308716, 1.7189090251922607, 2.6523592472076416, 0.40185776352882385, 1.644486427307129]"
9,"[-0.5210276, 0.0077056875, -0.00701904, 0.053268228, 0.6524913, 0.60550845, -0.7575579, 0.13527818, 0.11224841, -0.062675476, 0.7149479, 0.65712047, -0.93488044, 0.4257478, 0.32099417, 0.51302797, -0.029491147, 0.39685813, -0.06635153, 0.0113947, -0.2825967, -0.585822, -0.5093712, 0.4828559, -0.122365855, 0.021022554, -0.115830764, -0.68547565, -0.59321606, 0.5982823, -0.37859464, -0.38445517, -0.40553683, -0.28063437, -0.41806775, -0.0157457, -0.07177761, 0.6193941, 0.587485, 0.40799406, -0.35040978, -0.18908289, 0.011661179, 0.24144252, 0.7856212, 0.5470206, -0.06522192, 0.30597824, 0.41971314, 0.25727233, 0.54139155, 0.38962755]","[1.9155974, 1.9560854, 1.6057498, 2.8220544, 2.433662, 1.3603741, 1.8575255, 2.0837557, 2.469037, 2.2492173]","[2.0125694274902344, 3.2667832374572754, 3.192861318588257, 2.3036954402923584, 1.4063318967819214, 0.9259126782417297, 1.540536642074585, 2.545070171356201, 3.955976963043213, 3.069052219390869]"
10,"[0.49758658, -0.059786305, -0.036071427, 0.17831315, -2.0316296, -1.8881125, 0.9831083, -0.33630854, -0.071139865, 0.42028108, -2.3058324, -1.7093806, 1.3590264, 0.17173226, 0.4046848, -0.07345498, 1.0403696, 0.4541155, -0.2073307, -0.24085768, 0.0478464, 1.9653995, 1.5797917, -0.72444826, -0.03361344, -0.261851, -0.23892325, 2.2826734, 1.5863416, -0.8558449, -0.40403253, -0.28916115, -0.4625926, -0.52142215, -0.42893347, 0.6832058, 0.5974049, -0.4468476, -1.9179459, -1.4451259, 0.5112829, 0.67793226, 0.7338622, -0.033020835, -2.319094, -1.7929, -0.0034764973, 0.59375775, 0.030335203, 0.70067775, -0.10453213, 0.30184138]","[2.1010349, 1.7424699, 3.9905498, 4.991, 0.9608687, 0.49554983, 2.9680817, 1.6024265, 1.7799925, 1.2731066]","[3.9158031940460205, 2.65324068069458, 3.588949203491211, 4.370975017547607, 1.2391026020050049, 0.24410633742809296, 0.6196926236152649, 2.932938575744629, 3.5459470748901367, 4.516016960144043]"
