Iteration,test_preds,estimated_params
1,"[-0.937229, 4.11502, -0.24026299, 1.4578862, 1.0139084, 1.4069663, -0.25152814, 0.06406032, -0.34421274, 0.042737193, 0.06089312, 0.16508281, -0.11027906, -0.23483688, 0.19522958, -0.1457733, -0.09828348, -0.0197068, 0.06032998, 0.029402545, 0.02547323]","[3.7082675, 4.9952, 1.550793, 4.3985085, 2.9135582, 0.6220333, 2.6993208, 4.5718417, 4.89738, 1.9384269]"
2,"[0.2564849, -0.69219416, -3.1058865, -4.4534154, -1.388222, 0.008910826, 0.23943734, 0.16925779, -0.02573567, 0.1718807, 0.19220567, -0.38548118, -0.006083223, 0.08477263, 0.005359502, 0.1462827, -0.17204753, -0.048643395, -0.035741284, -0.035512164, -0.0547758]","[1.704112, 0.91922134, 3.6044474, 1.3259469, 1.9807006, 2.6530995, 1.3007401, 1.0275098, 1.8153718, 4.6076913]"
3,"[0.12522928, -2.9537554, 5.03916, 1.0097375, 0.85439414, -0.35579368, 0.58584493, -0.17917612, -0.15004921, 0.021230146, -0.06685759, -0.057012573, 0.23587401, 0.041952237, -0.10165734, -0.020995434, -0.2520117, -0.0013530512, 0.027374543, 0.075785615, -0.047009025]","[1.7276987, 4.106642, 1.6422765, 2.0722978, 3.6431196, 3.4652932, 3.766411, 1.3911804, 0.46673086, 2.220364]"
4,"[-0.43454403, 1.9417499, -2.3670144, -0.93629193, -0.5680592, 2.3617988, 0.06050377, 0.17362899, 0.009891312, 0.16900913, -0.13828334, 0.20060249, -0.21035285, -0.15844029, 0.2654567, -0.054772757, 0.004452234, -0.047532734, -0.04489374, -0.014442668, -0.116169415]","[3.1033375, 2.411161, 3.5972195, 3.3291485, 1.6963469, 1.1098804, 0.7790155, 3.4289155, 3.835729, 3.8156476]"
5,"[0.042011, 1.4728264, -5.215715, 3.270481, 6.139358, -2.6697183, -0.2164526, -0.018979883, -0.13821357, 0.12063211, 0.15981634, 0.11722056, 0.1276203, 0.1634792, 0.26203457, 0.19571184, 0.32560483, 0.15193208, -0.043650273, 0.23206548, -0.091385745]","[3.4166713, 4.7025347, 0.57209724, 0.86708957, 0.88196546, 1.9232439, 2.6651518, 3.9259663, 4.494176, 3.7456386]"
6,"[1.0876702, -5.770763, 4.446203, -3.3098712, -5.135301, -0.8158452, -0.6562421, 0.36069587, 0.6120153, 0.14569557, 0.20559189, -0.015333774, 0.17920636, 0.045049414, -0.097850285, 0.20767996, 0.099580884, 0.079214685, -0.007839662, 0.18277745, -0.035399392]","[1.200305, 0.104, 4.664778, 4.6534376, 4.398131, 3.7862487, 1.9270794, 1.1260185, 1.4957819, 0.16473293]"
7,"[-1.3074794, 5.7675962, 1.7250217, -1.1866441, -1.6629257, -0.2734976, -0.10521028, -0.0834028, -0.15467766, 0.009264156, 0.01833698, 0.30939308, 0.18500306, 0.20098722, 0.03869392, 0.14056128, -0.03863746, -0.12007993, -0.05282497, 0.0333073, 0.01823716]","[0.6604818, 4.5755296, 3.3483398, 4.3612833, 4.5871816, 3.146698, 3.2132244, 2.8602123, 4.171756, 4.769834]"
8,"[0.44776446, -3.615277, 6.4615827, 3.2424314, -0.592515, 1.2174003, -0.27141714, -0.057555176, -0.16089597, -0.06847488, -0.12503141, -0.0072142757, 0.16743433, 0.019813422, 0.15075523, 0.17899418, 0.01654741, 0.011745284, 0.105259866, 0.05551765, 0.043828525]","[3.124589, 2.5241992, 4.3561163, 2.8326986, 2.1802006, 2.2020257, 3.8726196, 2.880619, 1.0783894, 0.8615999]"
9,"[-0.45950305, 1.3025887, 0.11321098, -1.6674651, 1.401148, -1.297913, 0.07303079, -0.007066935, 0.41409096, -0.13191196, -0.18962155, 0.1409843, -0.08285537, 0.058709655, -0.048209183, -0.15952243, -0.07910288, -0.04855671, -0.11600694, -0.09469561, -0.0048239925]","[1.9375541, 2.1381605, 1.2555543, 1.5958306, 3.0921595, 4.425268, 1.377807, 4.3709464, 2.430577, 2.7309742]"
10,"[0.60930467, -0.40725535, -4.953737, 4.4914613, -1.3454828, 3.6487668, -0.16900249, 0.23037958, 0.11923967, 0.15588124, -0.090600505, 0.6123665, -0.04956884, -0.51291925, -0.13739717, 0.14455414, -0.20153935, 0.025867434, -0.113099754, -0.123943076, 0.034248002]","[2.6171489, 2.7995558, 4.085316, 4.038798, 1.1868311, 0.3367124, 1.7489237, 2.9193697, 3.5683222, 1.2649707]"
